file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_2754,0.0,4.1606875,utt,-50.8510507436899,-61.706674575805664,48.77454035146014,2.57036810244162
common_voice_22_0_125,0.0,9.5488,utt,-42.92720876963351,-50.180294799804685,48.30163737303914,11.120029510474863
common_voice_22_0_3715,0.0,4.0511875,utt,-40.53376253858025,-48.87633180618286,39.511091927692505,10.760792222243369
common_voice_22_0_13608,0.0,3.7079,utt,-43.1923380643531,-48.77645492553711,38.098326998613615,7.751683259349139
common_voice_22_0_156,0.0,8.9936,utt,-50.63095279477197,-58.75237284479915,36.32616875314798,7.7502843692230075
common_voice_22_0_2846,0.0,4.2186,utt,-39.88218305687204,-48.14020919799805,35.27279760827444,10.977189906249816
common_voice_22_0_3257,0.0,3.3697,utt,-46.42075064910979,-53.86177749633789,31.067036120569504,7.886343781766493
common_voice_22_0_4430,0.0,3.818375,utt,-43.90432755235602,-48.320332527160645,30.720554903080703,11.1215455361756
common_voice_22_0_3030,0.0,3.4214,utt,-57.08554344846491,-57.790462748209634,30.509068634463603,9.663844860645268
common_voice_22_0_283,0.0,7.5924,utt,-40.70191298171937,-44.09939034779867,29.361583122288888,9.601091156460988
common_voice_22_0_7156,0.0,2.3936875,utt,-52.97829906511506,-60.75007286071777,28.144439461654642,4.625949276904185
common_voice_22_0_37164,0.0,2.3759,utt,-43.34700384059874,-49.498463524712456,27.21716175835132,1.5903875078708296
common_voice_22_0_10192,0.0,1.954875,utt,-54.33711939102564,-58.25190470768855,26.689284507085457,7.486159534654286
common_voice_22_0_5722,0.0,4.08,utt,-38.48006902956495,-49.023547832782455,26.325287794230608,11.562742338412992
common_voice_22_0_31283,0.0,1.8109,utt,-44.62140398394337,-51.96426439285278,24.481676834777797,8.3190924571287
common_voice_22_0_9589,0.0,3.0203,utt,-53.99960872826987,-57.69202702840169,23.23329020252517,5.314988153211223
common_voice_22_0_28302,0.0,3.7918,utt,-34.93048627143799,-49.15620574951172,22.8718621001587,13.025499005374527
common_voice_22_0_23185,0.0,3.0586,utt,-38.666334763071895,-44.98073501586914,22.714889310726672,12.4109966516376
common_voice_22_0_22815,0.0,2.8641875,utt,-50.13441051136363,-55.18470335006714,22.65752614924991,7.451951144456791
common_voice_22_0_32224,0.0,3.0256,utt,-44.55287940903465,-47.249608553372894,22.649512305824263,6.422867164172835
common_voice_22_0_2337,0.0,3.4059,utt,-43.39591733870968,-46.50063247680664,22.483888489070946,5.801915902904888
common_voice_22_0_33020,0.0,2.1795,utt,-49.468181085149084,-61.52903060913086,22.141922089291054,12.853035271047478
common_voice_22_0_25398,0.0,1.8731,utt,-44.91061058656417,-44.73685169219971,22.086991603538134,10.777036305338052
common_voice_22_0_26791,0.0,3.8392,utt,-39.004730224609375,-50.02439062935965,21.845254806027704,11.289378859770062
common_voice_22_0_13258,0.0,3.582375,utt,-39.4869500698324,-46.36687469482422,21.773043217762467,9.887784615829874
common_voice_22_0_32848,0.0,1.5239,utt,-38.03778718647204,-48.869581858317055,21.36334253916335,2.4101917874298806
common_voice_22_0_29025,0.0,2.7338,utt,-38.37840902586996,-43.79571533203125,21.30212391382918,13.843428279358749
common_voice_22_0_3220,0.0,4.1757,utt,-37.56087161707536,-44.83273400200738,21.302121106917568,9.406875014943918
common_voice_22_0_4906,0.0,2.2846875,utt,-56.24075263843202,-61.518062337239584,21.232450717012117,1.4584890635030803
common_voice_22_0_2028,0.0,4.5492,utt,,-51.00629186630249,21.11417690667446,9.419171804978651
common_voice_22_0_13259,0.0,2.7662,utt,-39.27142444156137,-40.268981661115376,20.988175528053514,9.614221364063603
common_voice_22_0_16919,0.0,1.8791,utt,-50.38033473238032,-63.191158294677734,20.954970314732666,2.1750821134009133
common_voice_22_0_28314,0.0,2.8696875,utt,-39.107173481054005,-47.815114974975586,20.761811165843444,12.560722553718211
common_voice_22_0_2221,0.0,4.9080625,utt,-45.12380664460285,-47.25821501016617,20.47066766538454,5.723260572279225
common_voice_22_0_25171,0.0,1.50075,utt,-45.90509114583333,-47.207234382629395,20.360278171728925,10.158999691873053
common_voice_22_0_12731,0.0,1.9952,utt,-56.0643115234375,-60.084069061279294,20.141082603778003,8.816568084532786
common_voice_22_0_4454,0.0,2.791875,utt,-48.00839353718638,-57.89928690592448,20.125101374828187,2.1366861001656936
common_voice_22_0_13432,0.0,1.8143,utt,-57.33688169026243,-64.71259574890136,19.959189386393383,11.141317305690032
common_voice_22_0_16286,0.0,4.0983,utt,-41.42715796493903,-45.38747994105021,19.889355710020077,12.036908462791743
common_voice_22_0_20,0.0,10.1368,utt,-39.76602564102564,-51.317058890206475,19.71255786495086,10.469664299489056
common_voice_22_0_9865,0.0,2.0278,utt,-52.784545297105915,-58.48959813799177,19.595400241185256,14.701683924390965
common_voice_22_0_1934,0.0,3.5844,utt,-51.59202601256983,-54.363102456797726,19.482665819448496,14.93907925165351
common_voice_22_0_578,0.0,5.87,utt,,-50.593014426853344,19.338505616012835,9.261947362933642
common_voice_22_0_3368,0.0,2.891,utt,-58.415806120242216,-62.350429725646975,19.27836737023441,4.381577622581929
common_voice_22_0_28642,0.0,1.4531875,utt,-35.32713833512931,-41.948674011230466,19.20893573439981,4.150508014635944
common_voice_22_0_13459,0.0,2.4086,utt,-43.14117203708506,-51.07842763264974,19.142330591078256,3.8727872450300254
common_voice_22_0_10256,0.0,1.89175,utt,-44.39943473048942,-50.45546428973858,19.08216006378648,4.5639820228836925
common_voice_22_0_5009,0.0,2.6947,utt,-53.381091717007436,-56.37728373209635,19.04971679441695,15.475508500915282
common_voice_22_0_3203,0.0,5.3210625,utt,-61.0032380756579,-61.39367851844201,18.970570247968077,8.75254971279064
common_voice_22_0_69,0.0,8.5115,utt,-39.72499724588719,-44.76985119235131,18.94750961705587,13.078625820579408
common_voice_22_0_85,0.0,8.6046875,utt,-48.44073401162791,-50.45656612941197,18.901681441257544,5.027530796860038
common_voice_22_0_9493,0.0,3.897375,utt,-52.50491786858974,-55.60590844405325,18.685926022945484,13.492592728971353
common_voice_22_0_16296,0.0,2.0120625,utt,-45.88499883395522,-51.741401481628415,18.63356719596738,8.415407981728237
common_voice_22_0_2546,0.0,5.445875,utt,-52.01021717316514,-55.49385897318522,18.488952356498743,2.3392175052073227
common_voice_22_0_5587,0.0,3.6669,utt,-40.24816395606267,-47.149085521698,18.476592184396992,10.50449306278813
common_voice_22_0_37593,0.0,1.9826,utt,-48.74369673295455,-51.29532718658447,18.341863643042966,2.768787898921408
common_voice_22_0_21053,0.0,2.6216,utt,-33.59652686665076,-43.937957763671875,18.201703230275022,12.722851046901102
common_voice_22_0_4025,0.0,4.4097,utt,-38.09853316326531,-48.43593524751209,18.188854326788633,11.744991881329867
common_voice_22_0_28148,0.0,3.0240625,utt,-37.598655448054636,-39.39006233215332,18.16264473425853,9.992934499805514
common_voice_22_0_19048,0.0,4.7787,utt,-34.29222917756276,-40.32901725769043,18.162643798621325,13.045358694221129
common_voice_22_0_22589,0.0,1.4471,utt,-55.489914466594826,-53.96912145614624,18.140245286616068,6.315696710980337
common_voice_22_0_24803,0.0,2.4781875,utt,-39.022689327116936,-43.52562544080946,18.009988706613836,12.030752409715914
common_voice_22_0_3708,0.0,4.1446,utt,-41.87205615942029,-45.41598176956177,18.009988706613836,6.507558349503441
common_voice_22_0_30198,0.0,3.1013,utt,-42.81956275201613,-46.1228035820855,18.00566913791489,8.42406602048018
common_voice_22_0_30190,0.0,1.3296875,utt,-51.1336091694079,-57.25931739807129,17.95834908774867,10.797193777458313
common_voice_22_0_21374,0.0,3.3161875,utt,-55.645949030496986,-59.32657273610433,17.92160357992394,13.420359344435196
common_voice_22_0_16075,0.0,3.7661875,utt,-50.595599510941646,-54.995290756225586,17.83855331640268,8.811080525011013
common_voice_22_0_52,0.0,8.2665,utt,-53.783441656590085,-57.13173242342674,17.691723559050835,10.891609260114928
common_voice_22_0_15392,0.0,1.4932,utt,-49.77175309354027,-52.667988777160645,17.600754108863285,1.2277893770583148
common_voice_22_0_30006,0.0,3.4641,utt,-47.11136763908959,-54.821964263916016,17.439678810420673,10.188044687410326
common_voice_22_0_336,0.0,5.5866875,utt,-42.33302702929338,-46.2006831945375,17.377775670332433,10.409277457815634
common_voice_22_0_31973,0.0,5.3676875,utt,-30.84707067621043,-46.94377326965332,17.362347104386156,15.605303950070349
common_voice_22_0_32002,0.0,3.1036,utt,-43.34846585181452,-46.72898178100586,17.220802383843143,11.55415917342928
common_voice_22_0_4233,0.0,2.8565625,utt,-42.59767673732517,-47.93897809480366,17.22080191602454,2.782743009219981
common_voice_22_0_163,0.0,7.3676,utt,-59.31146116010855,-56.92902678030509,17.165140798934505,8.54562377869409
common_voice_22_0_26871,0.0,1.5601875,utt,-53.10317758413461,-63.72685623168945,17.118641998496066,10.253373811143494
common_voice_22_0_33919,0.0,1.3828,utt,-40.14015794836956,-40.519880294799805,17.06382819095531,10.86690264144073
common_voice_22_0_32099,0.0,1.3645625,utt,-45.09165685317095,-42.75958251953125,17.06382778161403,8.307427011560856
common_voice_22_0_29667,0.0,1.5377,utt,-60.085557021103895,-60.996255602155415,17.04887676681612,8.518523435948527
common_voice_22_0_2929,0.0,3.697875,utt,-48.42712732263514,-50.413409785220495,16.90685493370468,14.567386933349942
common_voice_22_0_3574,0.0,5.198875,utt,-50.03356370192308,-58.39882972023704,16.74337725958493,12.472070440351054
common_voice_22_0_31899,0.0,1.2249,utt,-53.636262487192624,-53.486300786336265,16.68508816369577,13.554521512334357
common_voice_22_0_38678,0.0,1.64125,utt,-43.02267232755335,-54.45213762919108,16.68329944291077,16.277510307462137
common_voice_22_0_29285,0.0,3.0033,utt,-33.488580729166664,-45.011390686035156,16.59290654792901,12.892933129196887
common_voice_22_0_21471,0.0,2.2161875,utt,-41.0840063696509,-49.45439747401646,16.59290561229181,9.546889111064718
common_voice_22_0_33918,0.0,1.1947,utt,-53.378594406512605,-56.063787841796874,16.503194810789207,17.095480677661584
common_voice_22_0_708,0.0,7.5375,utt,-50.152789290450926,-55.407103416247246,16.503194404223372,13.544960467487657
common_voice_22_0_10440,0.0,2.4770625,utt,-53.952368951612904,-55.85516484578451,16.503194404223372,9.662441449506588
common_voice_22_0_35366,0.0,1.9763,utt,-38.45734197443182,-42.02032979329427,16.43593282285978,12.437665957115666
