file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_13,0.0,4.7547,utt,-58.577791940789474,-54.48418296651637,8.599712548752512,7.2424056947159485
common_voice_22_0_1,0.0,6.5280625,utt,-62.038177163093415,-57.741604396275115,6.592790381928152,5.929362420128021
common_voice_22_0_8,0.0,4.4206875,utt,-59.12482324660633,-57.878729263941445,4.400556266925979,7.4307095684577735
common_voice_22_0_6,0.0,5.793,utt,-56.03805726468048,-59.30125713348389,3.8931169590149404,11.931335096318156
common_voice_22_0_9,0.0,5.7854,utt,-49.79659164507772,-51.32797958374024,3.7980810146245374,17.67587212849815
common_voice_22_0_4,0.0,5.6955,utt,-57.94125548245614,-53.64245562283498,3.6717834731798855,2.1127630938529247
common_voice_22_0_3,0.0,3.791,utt,-56.01584659465699,-55.13063101674996,3.596071663299097,8.789920368043482
common_voice_22_0_18,0.0,4.5929,utt,-53.482383578431374,-51.3802097493952,3.5579994379181388,3.445757694758349
common_voice_22_0_2,0.0,5.7473,utt,-60.81031929347826,-56.45036346681656,3.286163003592779,7.9923329106215775
common_voice_22_0_7,0.0,4.263375,utt,-55.029044710974176,-54.0188001703333,3.2579815846650715,4.172604403791084
common_voice_22_0_12,0.0,4.2421,utt,-51.69427144752358,-51.244145202636716,2.8231935712326153,14.698289180806494
common_voice_22_0_5,0.0,5.1225,utt,-55.37759017944336,-55.859001089025426,2.3575915543861456,14.585355644756106
common_voice_22_0_10,0.0,3.649875,utt,-52.8548908390411,-52.45875600179036,2.3575858303898483,1.7382184337946196
common_voice_22_0_16,0.0,3.878875,utt,-56.68912089239691,-54.474723981774375,2.3287581013689165,4.342421253366592
common_voice_22_0_14,0.0,3.4857,utt,-57.90610449498568,-57.01988677978515,2.313129875079109,9.030196684784714
common_voice_22_0_17,0.0,3.78975,utt,-58.565370423812666,-56.35320890710709,2.20983878617129,4.343888274428048
common_voice_22_0_0,0.0,5.9715,utt,-63.16793603433836,-59.64911402596368,2.117504253683449,6.3071007535947885
common_voice_22_0_15,0.0,4.45375,utt,-57.17122981039326,-55.51182723999023,2.059845353631789,1.2159475951205945
common_voice_22_0_11,0.0,3.9233,utt,-52.90199996014031,-51.99527499986731,1.7110291814636571,8.348510221673372
common_voice_22_0_19,0.0,3.359875,utt,-54.19955589657738,-53.16042663937523,1.6416412627983894,7.007979984979491
