file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_8,0.0,5.20075,utt,-53.38947941706731,-52.12607841491699,3.554808791066937,9.878887929626524
common_voice_22_0_2,0.0,5.0287,utt,-51.05677652833002,-55.11156708853586,3.5493114507916084,11.028520241170538
common_voice_22_0_18,0.0,4.1546875,utt,-57.14785391566265,-58.297521379258896,3.3716481458362875,7.547955995025699
common_voice_22_0_15,0.0,4.3456,utt,-55.68120061063218,-59.434428215026855,2.9477689313933766,7.556005776995549
common_voice_22_0_13,0.0,1.8981,utt,-56.14394017269737,-54.268557699103106,2.7937840791902864,7.8730943106381
common_voice_22_0_7,0.0,2.662875,utt,-52.46913548519737,-51.94631812686012,2.7299554576440688,15.981940812851416
common_voice_22_0_9,0.0,4.2346,utt,-50.258292700945624,-52.25700398495323,2.66652148282226,11.649516180122959
common_voice_22_0_12,0.0,2.8644,utt,-55.59536508413461,-52.249602762858075,2.407799763298369,6.872950995787338
common_voice_22_0_17,0.0,5.3438,utt,-58.980797928370784,-55.7326494104722,2.3602761467793956,7.50511576559766
common_voice_22_0_4,0.0,5.3650625,utt,-58.52434313896648,-56.128972653989436,2.264186709652047,7.397685416796721
common_voice_22_0_3,0.0,3.109875,utt,-55.00741057073955,-56.81266078242549,2.1383812457476403,20.871489934044135
common_voice_22_0_6,0.0,7.4805,utt,-60.911994485294116,-56.058538648817276,1.9587510094404272,9.796148154360914
common_voice_22_0_1,0.0,4.7605625,utt,-54.463768710609244,-52.70582122802735,1.9360358319374438,15.430780139180804
common_voice_22_0_19,0.0,1.9215,utt,-52.305694580078125,-53.6358118057251,1.9360334197754634,9.572836314388857
common_voice_22_0_10,0.0,5.141375,utt,-61.66454888132296,-59.75397091820126,1.879568506536916,8.99358107539053
common_voice_22_0_16,0.0,1.8930625,utt,-58.297846395502646,-55.4585964679718,1.7546847804914467,3.499085497147794
common_voice_22_0_0,0.0,5.2685,utt,-60.38309787120493,-57.55503938004777,1.6928355685504424,5.899608594756298
common_voice_22_0_11,0.0,3.3345,utt,-58.5918262012012,-58.08337679776278,1.3662883642351018,7.676330457306239
common_voice_22_0_5,0.0,4.2499,utt,-59.79897058823529,-62.957577056884766,1.3662883642351018,6.45207888866322
common_voice_22_0_14,0.0,1.761375,utt,-56.13028231534091,-53.358814912683826,1.3015149106455035,3.9925624207403985
