file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_101,0.0,3.4055,utt,-56.66593543804985,-54.16630603421119,8.95595346171014,4.523890217120632
common_voice_22_0_253,0.0,2.0843,utt,-52.99900465745192,-53.61635681152344,7.892421734519597,6.521967893527609
common_voice_22_0_220,0.0,2.3974,utt,-59.16633707682292,-56.901228728117765,7.628494553669752,6.094646440282679
common_voice_22_0_42,0.0,3.6616,utt,-59.90090292008197,-55.35706154075829,7.207847426148379,11.6357755414382
common_voice_22_0_1146,0.0,0.7449,utt,-53.114574535472975,-52.726223536900115,7.184787128428341,9.400091989183602
common_voice_22_0_665,0.0,1.5902,utt,-60.700784935141506,-59.85760180155436,6.997179484630872,7.854356126000674
common_voice_22_0_1017,0.0,1.2411,utt,-55.79704826108871,-56.58699862162272,6.865560782010102,5.144738891165857
common_voice_22_0_509,0.0,1.6475625,utt,-56.46023319128788,-59.49244520399306,6.614745628671206,24.314527556328958
common_voice_22_0_487,0.0,1.7199,utt,-55.64075558684593,-54.29823704769737,6.569650768369306,5.990954121850539
common_voice_22_0_269,0.0,2.1583,utt,-56.88309280960648,-57.061549530029296,6.523274137871826,2.7277572822986684
common_voice_22_0_211,0.0,2.2237,utt,-58.400711746903156,-57.02363659785344,6.523274137871826,8.770496810487913
common_voice_22_0_1085,0.0,0.8650625,utt,-55.61492007902299,-53.400704277886284,6.323690962494948,10.458105193367615
common_voice_22_0_112,0.0,2.538875,utt,-56.52109605684055,-55.87724501511146,6.276832005853119,7.0549652144743735
common_voice_22_0_522,0.0,3.9575,utt,-57.450545494002526,-59.98141800729852,6.276829991717047,9.456804431976265
common_voice_22_0_1152,0.0,0.7325625,utt,-58.208957619863014,-55.8817629132952,6.2630360896596695,13.104129503660499
common_voice_22_0_32,0.0,4.2700625,utt,-52.17138100117096,-52.692520247565376,6.231701556908381,12.294148494555897
common_voice_22_0_191,0.0,2.5076875,utt,-62.96283226469124,-63.094913200095846,6.18098749373355,13.70003492204243
common_voice_22_0_46,0.0,2.5389,utt,-54.51229161540354,-53.53364377408414,5.915759800348142,5.655358030246795
common_voice_22_0_137,0.0,2.0442,utt,-54.82318474264706,-54.4413333468967,5.8387008495952735,7.191922217668841
common_voice_22_0_317,0.0,1.8809,utt,-57.5841661818484,-58.70147977556501,5.838700339547941,16.800157867241218
common_voice_22_0_152,0.0,2.0965625,utt,-56.80593377976191,-56.04049623929537,5.7522716452669815,7.091076655101428
common_voice_22_0_73,0.0,2.7668,utt,-53.29836628497292,-51.610912799835205,5.719350220048741,6.038855539816039
common_voice_22_0_807,0.0,1.2464,utt,-50.45915234375,-51.68722864786784,5.666701907227821,10.280863110489495
common_voice_22_0_396,0.0,1.7476,utt,-53.405546875,-52.02197955903553,5.66669964510409,4.848172931257009
common_voice_22_0_434,0.0,1.7511875,utt,-48.47504464285714,-48.51874269757952,5.650203443935336,12.31359997710518
common_voice_22_0_1061,0.0,0.9571875,utt,-51.655049641927086,-52.615505599975585,5.588814316337561,13.97319338629409
common_voice_22_0_705,0.0,2.478375,utt,-54.932881016885084,-55.92617645263672,5.546085311960805,8.063073678248546
common_voice_22_0_586,0.0,1.7185625,utt,-65.56613372093024,-60.56473810532514,5.478380329393189,9.483516340300747
common_voice_22_0_390,0.0,1.940875,utt,-57.062192936533506,-54.019354502360024,5.292650598381258,3.0135570001722662
common_voice_22_0_429,0.0,1.758875,utt,-53.25093772194602,-53.7590088617234,5.287178622569426,20.567798760494245
common_voice_22_0_435,0.0,2.2346,utt,-56.487046314461885,-60.117432042172084,5.171761771924287,9.905441984289379
common_voice_22_0_213,0.0,2.6161875,utt,-57.25744349355916,-54.81546942392985,5.15412756131872,4.441304421374777
common_voice_22_0_666,0.0,1.5885625,utt,-52.498010023584904,-51.976283466114715,5.143713700914737,7.0831785719476805
common_voice_22_0_363,0.0,1.8908,utt,-55.98611627810847,-55.95410465058826,5.0947272087408315,3.4751993802533825
common_voice_22_0_641,0.0,1.5385,utt,-48.71772904829545,-46.01287482766544,5.0947272087408315,2.4921917263868387
common_voice_22_0_1008,0.0,0.9800625,utt,-52.19894471460459,-52.59760839288885,5.0947272087408315,8.733029112158277
common_voice_22_0_926,0.0,1.17,utt,-58.964697682959404,-56.6666093306108,5.094725514520461,4.1190269940313815
common_voice_22_0_593,0.0,1.5065625,utt,-52.447042503104306,-52.88535690307617,4.99701813155667,12.879267908443932
common_voice_22_0_1030,0.0,1.036,utt,-52.7601318359375,-52.045203399658206,4.981029773924077,11.229230754979648
common_voice_22_0_799,0.0,1.7548,utt,-61.524391741071426,-58.32385813395182,4.934923348316397,6.621165364246835
common_voice_22_0_1084,0.0,0.8256875,utt,-52.48682228915663,-48.826690673828125,4.893535301114789,10.08690611914156
common_voice_22_0_481,0.0,2.5341,utt,-54.63929718379447,-47.295454727975944,4.811840917180444,11.096514386073633
common_voice_22_0_714,0.0,2.9093,utt,-53.80949312714777,-53.88748526573181,4.811840917180444,8.71656362361895
common_voice_22_0_1138,0.0,0.889875,utt,-49.40523503335674,-49.76998519897461,4.81183989708578,8.791811810727278
common_voice_22_0_176,0.0,2.6845625,utt,-54.0473195545709,-55.59901390075684,4.811839259526614,11.196289836939648
common_voice_22_0_1103,0.0,2.5135625,utt,-46.42033817853586,-50.67893838882446,4.811838876991115,11.918972724762263
common_voice_22_0_293,0.0,2.0414,utt,-57.538933249080884,-56.4352969294009,4.810484468809129,8.930466078705113
common_voice_22_0_181,0.0,1.958375,utt,-50.793676259566325,-48.570046833583284,4.802386655797534,12.216640066234987
common_voice_22_0_118,0.0,2.2256875,utt,-60.00271072729821,-57.43717460632324,4.7554720937160955,6.150440020503048
common_voice_22_0_859,0.0,1.0822,utt,-56.537556966145836,-55.279914311000276,4.755470657426533,14.428209271607813
common_voice_22_0_741,0.0,1.3623,utt,-50.86110193589155,-48.927909978230794,4.755470657426533,5.048858241710143
common_voice_22_0_25,0.0,3.6107,utt,-53.767193992382275,-52.29934571006081,4.755470657426533,16.51204904299944
common_voice_22_0_24,0.0,3.7735,utt,-55.69649370026525,-54.948093838161896,4.684376137266451,11.46912670413229
common_voice_22_0_930,0.0,1.1831875,utt,-49.02979343220339,-47.01456069946289,4.616843551609037,11.07435398655949
common_voice_22_0_135,0.0,2.2251875,utt,-58.65631568806054,-57.02236352648054,4.587251806946257,30.666123141997836
common_voice_22_0_558,0.0,1.6465625,utt,-59.21831794507576,-57.79436352378443,4.587249792810185,6.535289285519333
common_voice_22_0_349,0.0,2.7891,utt,-62.39269713261649,-58.4402061809193,4.587247778674114,5.7257382792968095
common_voice_22_0_261,0.0,1.9434,utt,-56.45609999194588,-55.766637268066404,4.580842567993827,14.38909734271076
common_voice_22_0_504,0.0,2.4856,utt,-62.532399127761046,-52.088381114758946,4.539840815756831,8.740541433401035
common_voice_22_0_797,0.0,1.2459,utt,-61.76493359375,-61.46498080662319,4.536281804568467,5.571701039482122
common_voice_22_0_80,0.0,2.9716875,utt,-57.679490214646464,-56.01660988065932,4.536279910691597,8.568402291152431
