file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_9,0.0,5.7854,utt,-52.37609968696027,-55.11616729736328,4.568023329554905,15.894507243688466
common_voice_22_0_10,0.0,3.649875,utt,-54.31634738869863,-54.60799331665039,4.48249060014944,23.79254601262996
common_voice_22_0_13,0.0,4.7547,utt,-61.81110197368421,-63.23557654671047,3.7899223307451333,-0.6295862655029225
common_voice_22_0_7,0.0,4.263375,utt,-57.68509297975352,-56.04990350975181,3.720818676621372,4.3500328557288555
common_voice_22_0_16,0.0,3.878875,utt,-61.5990455863402,-60.802086125249446,3.493942714653514,1.9753653670756677
common_voice_22_0_2,0.0,5.7473,utt,-65.72869565217391,-64.47842634877851,3.4153660258901346,3.323553502934681
common_voice_22_0_11,0.0,3.9233,utt,-54.293342434630105,-52.7462448037189,3.3667151084785987,4.459673267317015
common_voice_22_0_1,0.0,6.5280625,utt,-66.75609566424195,-66.105650099497,3.0856658526608283,2.336398928885531
common_voice_22_0_19,0.0,3.359875,utt,-57.107660202752974,-56.20014408656529,3.0663844730286183,21.364018791107483
common_voice_22_0_4,0.0,5.6955,utt,-59.510046600877196,-58.97998198023382,3.0663844730286183,-0.324792190164116
common_voice_22_0_0,0.0,5.9715,utt,-66.36770440745394,-65.6672042740716,2.9263837531626717,2.703196065631632
common_voice_22_0_18,0.0,4.5929,utt,-58.69269982298475,-60.07860279083252,2.79234865184082,-0.11628852491097597
common_voice_22_0_5,0.0,5.1225,utt,-56.87921142578125,-59.13262675892223,2.2195629092612883,6.111757598246928
common_voice_22_0_15,0.0,4.45375,utt,-62.11271945224719,-60.935941009521486,2.2026537870299947,-0.6094734626061324
common_voice_22_0_8,0.0,4.4206875,utt,-64.51487821691177,-64.87748694906429,2.165399727040485,0.07030157244658675
common_voice_22_0_17,0.0,3.78975,utt,-67.93408847295514,-66.40893132635888,2.087155647889056,0.9549285037497057
common_voice_22_0_12,0.0,4.2421,utt,-53.35045235112028,-54.23101628621419,2.065214387295357,15.67564240395991
common_voice_22_0_6,0.0,5.793,utt,-56.122672441709845,-61.581020622922665,1.840793117734525,11.576383463691249
common_voice_22_0_3,0.0,3.791,utt,-61.420334144129285,-61.60450209104098,1.5716492172849137,2.9404433447751845
common_voice_22_0_14,0.0,3.4857,utt,-58.390389953438394,-57.67462692260742,1.429341360131477,10.132386230121199
