file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_4,0.0,5.3650625,utt,-71.21609491387338,-68.65625777067962,4.569076447823946,4.959172500353143
common_voice_22_0_11,0.0,3.3345,utt,-70.73187640765765,-76.42936415899368,4.182715465330203,3.8977836930569207
common_voice_22_0_1,0.0,4.7605625,utt,-73.26299894957984,-73.39197654724121,4.154637013420937,5.534735917832096
common_voice_22_0_3,0.0,3.109875,utt,-69.23140449155949,-70.19434371361366,3.8680610595185976,2.870398256362442
common_voice_22_0_7,0.0,2.662875,utt,-68.02108053336467,-69.37742741902669,3.733107299945697,1.4799159726213311
common_voice_22_0_2,0.0,5.0287,utt,-66.78382828031809,-74.2634333201817,2.7024683927221704,4.533790158719858
common_voice_22_0_12,0.0,2.8644,utt,-71.33100005463287,-72.05199483235677,2.6423610386413228,4.134463200998919
common_voice_22_0_19,0.0,1.9215,utt,-68.85362243652344,-71.09418869018555,2.400499494371271,1.3663297556218286
common_voice_22_0_13,0.0,1.8981,utt,-71.5693205180921,-73.29033319573654,2.335936261726472,2.0488805968631496
common_voice_22_0_6,0.0,7.4805,utt,-76.57581153910428,-75.95207779495804,2.0473017409410854,7.0159201459491065
common_voice_22_0_18,0.0,4.1546875,utt,-74.0773861069277,-82.63284068637424,2.0278935233186646,2.121357079165012
common_voice_22_0_9,0.0,4.2346,utt,-67.73877530289599,-79.35295205367238,1.9689696145791713,1.6328362907143124
common_voice_22_0_16,0.0,1.8930625,utt,-77.65353215939153,-74.15897393226624,1.6703844173477969,2.0865481463527935
common_voice_22_0_10,0.0,5.141375,utt,-79.08124848005836,-77.4907985868908,1.3689412926278268,3.9150264400929036
common_voice_22_0_8,0.0,5.20075,utt,-72.68495342548077,-77.877197265625,1.3161268125256704,1.4294389473952815
common_voice_22_0_14,0.0,1.761375,utt,-70.01903742009944,-71.38814387601964,1.1757554205119574,2.7058367696950185
common_voice_22_0_17,0.0,5.3438,utt,-74.50108994616104,-73.31274234547334,1.128667843942731,3.5566139212789327
common_voice_22_0_15,0.0,4.3456,utt,-72.88515176005747,-76.17869830131531,1.0541613857062744,3.28858123514488
common_voice_22_0_5,0.0,4.2499,utt,,,,
common_voice_22_0_0,0.0,5.2685,utt,,,,
