file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_2754,0.0,4.1606875,utt,-51.60905104417067,-62.746638434273855,46.909793578857034,2.781502641035816
common_voice_22_0_2546,0.0,5.445875,utt,-47.40954343463303,-61.11165727887835,42.095209506840085,7.199773653206734
common_voice_22_0_1404,0.0,4.91875,utt,-51.644618584857724,-53.886476617110404,34.95195034115202,6.8536084324339726
common_voice_22_0_125,0.0,9.5488,utt,-43.782464823298426,-49.66308546066284,32.35998210294593,11.524190898359855
common_voice_22_0_13608,0.0,3.7079,utt,-43.8734048601752,-49.86695445667613,32.05436897784874,6.793174076464414
common_voice_22_0_3708,0.0,4.1446,utt,-38.86927272041063,-46.47504544258118,31.09045416774759,4.518177130027601
common_voice_22_0_3257,0.0,3.3697,utt,-47.72519183512611,-53.42972135543823,29.370958227457248,8.894588596750978
common_voice_22_0_22815,0.0,2.8641875,utt,-50.46443058894231,-56.53026080131531,28.798758895497336,8.754397211242994
common_voice_22_0_4430,0.0,3.818375,utt,-44.30818471858639,-52.5855016708374,27.317361895646442,10.52258638267124
common_voice_22_0_37164,0.0,2.3759,utt,-45.08737362132353,-49.703544192843964,27.298377833340677,0.652715685960656
common_voice_22_0_4255,0.0,2.9884,utt,-46.64256506061873,-49.701295640733505,27.164555333097844,12.975340740669907
common_voice_22_0_2695,0.0,2.917375,utt,-43.53381849315068,-46.666512625558035,27.164554422298888,6.886695933272341
common_voice_22_0_17242,0.0,3.3208,utt,-41.73782238328313,-48.230163192749025,26.307394782230126,12.257348424266715
common_voice_22_0_1103,0.0,4.6403,utt,-45.90378333782328,-50.60766830444336,25.33087293931887,11.845208140143338
common_voice_22_0_3030,0.0,3.4214,utt,-56.46940675255848,-57.17998392441694,25.159566682181147,5.8220435967438675
common_voice_22_0_7387,0.0,3.8165,utt,-40.12046997709424,-47.40335432688395,25.025257992623764,9.760426427180557
common_voice_22_0_5722,0.0,4.08,utt,-38.887307559742645,-48.4981190608098,24.41403174242938,11.22431120073667
common_voice_22_0_23185,0.0,3.0586,utt,-38.7683536305147,-45.77660217285156,24.108417706533235,12.74503242711752
