file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_13,0.0,4.7547,utt,-59.01579358552632,-55.443630799003266,7.716023966355623,8.399472223432092
common_voice_22_0_1,0.0,6.5280625,utt,-61.739274263016846,-57.28070304507301,6.3020888395060455,9.855204679670642
common_voice_22_0_8,0.0,4.4206875,utt,-59.53879295107466,-58.0024037361145,5.224006525607563,6.954579488120162
common_voice_22_0_4,0.0,5.6955,utt,-58.20390625,-53.502538717017984,4.790501003888906,4.921499094787066
common_voice_22_0_0,0.0,5.9715,utt,-63.150819200167504,-59.726646688249375,4.622501001470152,10.08079985246893
common_voice_22_0_7,0.0,4.263375,utt,-54.67474966989437,-53.53824339972602,4.17901964876153,4.1311971546856014
common_voice_22_0_3,0.0,3.791,utt,-55.997474851583114,-55.02226541556564,3.359117062485638,2.491898145944475
common_voice_22_0_5,0.0,5.1225,utt,-55.711273193359375,-56.06095151034268,2.817943377673809,14.02406098293135
common_voice_22_0_12,0.0,4.2421,utt,-52.240008660082545,-51.93710369533963,2.7575568715526706,14.152538426568242
common_voice_22_0_2,0.0,5.7473,utt,-60.59835597826087,-56.689199201522335,2.6417639154361465,9.180641330521334
common_voice_22_0_17,0.0,3.78975,utt,-58.580072971635886,-55.71093198086353,2.5620502324530525,3.7194979868201763
common_voice_22_0_15,0.0,4.45375,utt,-57.385195751404495,-56.51696792602539,2.30838371016401,0.647921276702478
common_voice_22_0_10,0.0,3.649875,utt,-52.93305329623288,-52.65205307006836,2.302357241238158,0.9367301112382513
common_voice_22_0_9,0.0,5.7854,utt,-50.599943329015545,-51.53197174072265,2.302357241238158,13.860952663153956
common_voice_22_0_19,0.0,3.359875,utt,-54.169642857142854,-52.74541382562546,2.086512011150531,6.236222360667057
common_voice_22_0_14,0.0,3.4857,utt,-57.739657951289395,-56.89056503295898,2.0619141602661015,8.753789462158649
common_voice_22_0_18,0.0,4.5929,utt,-53.60849843409586,-51.81580829620361,2.044564173020332,2.8088381127259865
common_voice_22_0_6,0.0,5.793,utt,-55.844100820379964,-58.69469322477068,1.8542597682993815,11.819526091198048
common_voice_22_0_16,0.0,3.878875,utt,-56.54786163015464,-54.33146700651749,1.826534139759605,3.5954445879243586
common_voice_22_0_11,0.0,3.9233,utt,-52.667749521683675,-51.592634698619015,1.5322309278841992,8.418451885168055
