file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_10,0.0,5.141375,utt,-61.45065889469844,-59.52877389817011,4.682549540526055,12.041270388910405
common_voice_22_0_8,0.0,5.20075,utt,-53.298520132211536,-52.23091716766358,3.9604918897348043,9.845335555076463
common_voice_22_0_14,0.0,1.761375,utt,-56.22612415660512,-53.269829245174634,3.917304320882548,4.190679072641657
common_voice_22_0_9,0.0,4.2346,utt,-50.892458074763596,-52.90829668546978,3.5497649840986853,13.044980633277149
common_voice_22_0_17,0.0,5.3438,utt,-59.177006525046814,-58.70717037425322,3.359145807597246,7.87185880258377
common_voice_22_0_19,0.0,1.9215,utt,-52.31148783365885,-54.83747220039368,2.8588451368128025,8.078462242179445
common_voice_22_0_2,0.0,5.0287,utt,-50.93299577534791,-54.602656091962544,2.7720681347600284,13.09316950827359
common_voice_22_0_4,0.0,5.3650625,utt,-58.26798911778398,-55.610247717963325,2.6495726270693045,7.03687049940846
common_voice_22_0_18,0.0,4.1546875,utt,-57.19871987951807,-57.6805108388265,2.1861659830660725,7.849624034912498
common_voice_22_0_6,0.0,7.4805,utt,-60.54763744986631,-55.79779985215929,2.1615309136790293,10.627095432926675
common_voice_22_0_7,0.0,2.662875,utt,-53.24940892269737,-53.406402587890625,2.071707631439152,7.071694011141332
common_voice_22_0_15,0.0,4.3456,utt,-55.82246318247127,-59.00551962852478,1.977527734475201,9.089536929444952
common_voice_22_0_3,0.0,3.109875,utt,-55.464642785369776,-56.70667337488245,1.977526421208681,7.160698297207453
common_voice_22_0_13,0.0,1.8981,utt,-56.0861328125,-54.12399633307206,1.9058255570495377,7.80474543816012
common_voice_22_0_11,0.0,3.3345,utt,-58.80431798986486,-59.89561150290749,1.8071268960398816,5.435759042777422
common_voice_22_0_0,0.0,5.2685,utt,-60.24495967741935,-57.31216709033863,1.7086029889041525,5.461368557323702
common_voice_22_0_5,0.0,4.2499,utt,-60.2532674632353,-64.04633834838867,1.7073620021070754,6.930143243470886
common_voice_22_0_1,0.0,4.7605625,utt,-54.59457474396008,-52.9579268137614,1.4620554100522947,14.634042265659875
common_voice_22_0_12,0.0,2.8644,utt,-55.91402152534965,-54.137061564127606,1.1547005383789781,5.320353553551628
common_voice_22_0_16,0.0,1.8930625,utt,-58.43435846560847,-55.319597005844116,1.128362513754897,2.747311178690122
