gold,pred,time_sec,support,mean, median,variance
a,a,11.0900,168.0000,0.0660,0.0008
UNK,a,8.7700,130.0000,0.0675,0.0007
i,i,7.6180,128.0000,0.0595,0.0014
UNK,i,6.3580,94.0000,0.0676,0.0023
n,n,5.5690,86.0000,0.0648,0.0008
UNK,n,4.3940,65.0000,0.0676,0.0010
UNK,t,4.8700,62.0000,0.0785,0.0014
t,t,4.1390,56.0000,0.0739,0.0012
s,s,4.3820,49.0000,0.0894,0.0007
r,r,2.3890,46.0000,0.0519,0.0003
u,u,3.0830,46.0000,0.0670,0.0007
m,m,2.9080,42.0000,0.0692,0.0002
UNK,s,3.5200,38.0000,0.0926,0.0006
g,g,2.2240,38.0000,0.0585,0.0007
UNK,m,2.7600,38.0000,0.0726,0.0004
d,d,2.8290,37.0000,0.0765,0.0028
UNK,u,2.1000,32.0000,0.0656,0.0003
UNK,r,1.9600,30.0000,0.0653,0.0023
l,l,1.7140,27.0000,0.0635,0.0004
j,j,1.1990,26.0000,0.0461,0.0004
UNK,l,1.5800,24.0000,0.0658,0.0004
k,k,1.7040,21.0000,0.0811,0.0006
UNK,d,1.8100,21.0000,0.0862,0.0011
ʁ,ʁ,1.6430,21.0000,0.0782,0.0010
UNK,g,1.3400,20.0000,0.0670,0.0009
w,w,1.2750,17.0000,0.0750,0.0005
UNK,k,1.3700,16.0000,0.0856,0.0011
f,f,1.0550,12.0000,0.0879,0.0014
t:,t,0.5410,12.0000,0.0451,0.0010
UNK,j,0.4900,12.0000,0.0408,0.0001
dˤ,dˤ,1.0500,12.0000,0.0875,0.0001
a,r,0.2860,11.0000,0.0260,0.0008
UNK,ʁ,0.9500,11.0000,0.0864,0.0009
j,i,0.3440,10.0000,0.0344,0.0006
UNK,dˤ,0.9800,10.0000,0.0980,0.0002
UNK,w,0.6600,9.0000,0.0733,0.0006
ʃ,ʃ,0.7690,9.0000,0.0854,0.0008
n:,n:,1.1830,9.0000,0.1314,0.0020
b,b,0.4900,9.0000,0.0544,0.0006
s:,s:,1.3410,9.0000,0.1490,0.0009
UNK,s:,1.3500,9.0000,0.1500,0.0009
z,z,0.8030,9.0000,0.0892,0.0004
l:,l:,0.6990,9.0000,0.0777,0.0010
UNK,n:,1.0900,8.0000,0.1363,0.0021
UNK,f,0.7810,8.0000,0.0976,0.0016
s,t,0.5230,7.0000,0.0747,0.0021
i,n,0.2090,7.0000,0.0299,0.0006
UNK,l:,0.5100,7.0000,0.0729,0.0012
UNK,ʃ,0.5400,6.0000,0.0900,0.0010
t:,t:,0.6380,6.0000,0.1063,0.0023
a,dˤ,0.0800,6.0000,0.0133,0.0001
UNK,b,0.3600,6.0000,0.0600,0.0007
n,UNK,0.6020,6.0000,0.1003,0.0004
rˤ,rˤ,0.2930,6.0000,0.0488,0.0003
UNK,t:,0.4800,5.0000,0.0960,0.0021
n,t,0.1220,5.0000,0.0244,0.0001
a,g,0.0590,5.0000,0.0118,0.0000
UNK,z,0.4800,5.0000,0.0960,0.0003
i,UNK,0.6940,5.0000,0.1388,0.0079
m:,m:,0.5690,5.0000,0.1138,0.0014
i,d,0.0470,5.0000,0.0094,0.0000
tˤ:,tˤ:,0.6740,5.0000,0.1348,0.0028
ʒ,ʒ,0.4680,5.0000,0.0936,0.0012
q:,q:,0.6900,5.0000,0.1380,0.0003
UNK,q:,0.7200,5.0000,0.1440,0.0001
d:,d:,0.8330,5.0000,0.1666,0.0005
UNK,d:,0.9000,5.0000,0.1800,0.0014
j,a,0.1090,5.0000,0.0218,0.0001
a,s,0.0300,4.0000,0.0075,0.0000
i,r,0.1560,4.0000,0.0390,0.0013
n,i,0.2970,4.0000,0.0742,0.0072
u,r,0.1500,4.0000,0.0375,0.0004
ħ,ħ,0.3700,4.0000,0.0925,0.0007
a,UNK,0.4160,4.0000,0.1040,0.0026
zˤ,zˤ,0.3370,4.0000,0.0843,0.0004
UNK,zˤ,0.3500,4.0000,0.0875,0.0006
n,a,0.3150,4.0000,0.0788,0.0045
d,i,0.1080,4.0000,0.0270,0.0005
a,j,0.0850,4.0000,0.0212,0.0002
s,d,0.0940,4.0000,0.0235,0.0000
a,ʁ,0.1070,4.0000,0.0268,0.0001
g,i,0.0980,4.0000,0.0245,0.0001
d:,d,0.2680,4.0000,0.0670,0.0001
a:,a,0.3830,4.0000,0.0957,0.0014
g,n,0.1510,3.0000,0.0503,0.0008
a,w,0.0410,3.0000,0.0137,0.0000
i,g,0.0400,3.0000,0.0133,0.0001
r,k,0.0990,3.0000,0.0330,0.0000
r,ʁ,0.0490,3.0000,0.0163,0.0000
a,d,0.0260,3.0000,0.0087,0.0000
u,j,0.1070,3.0000,0.0357,0.0007
UNK,ħ,0.3100,3.0000,0.1033,0.0004
r:,r:,0.3700,3.0000,0.1233,0.0003
l:,i,0.1170,3.0000,0.0390,0.0005
k:,k:,0.3750,3.0000,0.1250,0.0007
UNK,ʒ,0.3700,3.0000,0.1233,0.0003
d,UNK,0.2090,3.0000,0.0697,0.0003
g,UNK,0.2460,3.0000,0.0820,0.0001
k,a,0.0310,3.0000,0.0103,0.0000
i,w,0.0630,3.0000,0.0210,0.0000
UNK,rˤ,0.2400,3.0000,0.0800,0.0002
z,t,0.2300,3.0000,0.0767,0.0001
n:,n,0.2300,3.0000,0.0767,0.0012
UNK,m:,0.3900,3.0000,0.1300,0.0001
n,g,0.0630,3.0000,0.0210,0.0001
f,a,0.0110,2.0000,0.0055,0.0000
f,UNK,0.1370,2.0000,0.0685,0.0001
j,g,0.0150,2.0000,0.0075,0.0000
a,t,0.0330,2.0000,0.0165,0.0000
t:,UNK,0.2600,2.0000,0.1300,0.0018
u,ʁ,0.0400,2.0000,0.0200,0.0000
n,s,0.0120,2.0000,0.0060,0.0000
u,r:,0.0600,2.0000,0.0300,0.0000
i,z,0.0170,2.0000,0.0085,0.0000
l:,g,0.0860,2.0000,0.0430,0.0002
r,i,0.0560,2.0000,0.0280,0.0000
r,n,0.0160,2.0000,0.0080,0.0000
a,k,0.0130,2.0000,0.0065,0.0000
kʷ:,k,0.0530,2.0000,0.0265,0.0000
kʷ:,kʷ,0.0200,2.0000,0.0100,0.0000
i,l:,0.0400,2.0000,0.0200,0.0002
a,tˤ:,0.0100,2.0000,0.0050,0.0000
i,ʁ,0.0590,2.0000,0.0295,0.0004
i,t,0.0990,2.0000,0.0495,0.0019
g,d,0.0230,2.0000,0.0115,0.0000
d,g,0.0500,2.0000,0.0250,0.0002
i,m,0.0270,2.0000,0.0135,0.0001
a,rˤ,0.0360,2.0000,0.0180,0.0000
t:,n,0.0740,2.0000,0.0370,0.0010
z,d,0.1800,2.0000,0.0900,0.0004
u,g,0.0100,2.0000,0.0050,0.0000
m:,i,0.1080,2.0000,0.0540,0.0021
g,a,0.0150,2.0000,0.0075,0.0000
d,ʁ,0.0110,2.0000,0.0055,0.0000
UNK,tˤ:,0.3700,2.0000,0.1850,0.0002
m:,m,0.1200,2.0000,0.0600,0.0009
s:,t,0.1110,2.0000,0.0555,0.0002
r,a,0.0180,2.0000,0.0090,0.0000
ʕ,ʕ,0.0900,2.0000,0.0450,0.0002
ɡʷ,ɡʷ,0.1700,2.0000,0.0850,0.0000
g,u,0.0230,2.0000,0.0115,0.0000
d,t,0.1100,2.0000,0.0550,0.0000
s,UNK,0.2890,2.0000,0.1445,0.0001
a,n,0.0240,2.0000,0.0120,0.0001
t:,d,0.1100,2.0000,0.0550,0.0002
sˤ,sˤ,0.1700,2.0000,0.0850,0.0012
h,a,0.0480,2.0000,0.0240,0.0000
h,h,0.1570,2.0000,0.0785,0.0024
i:,i,0.1000,2.0000,0.0500,0.0000
i,l,0.0060,1.0000,0.0060,0.0000
d,r,0.0260,1.0000,0.0260,0.0000
i,k,0.0090,1.0000,0.0090,0.0000
q,q,0.1300,1.0000,0.1300,0.0000
UNK,q,0.1300,1.0000,0.1300,0.0000
n,l,0.0500,1.0000,0.0500,0.0000
i,t:,0.0100,1.0000,0.0100,0.0000
t:,g,0.0500,1.0000,0.0500,0.0000
l,s,0.0410,1.0000,0.0410,0.0000
l,a,0.0060,1.0000,0.0060,0.0000
ħ,a,0.0130,1.0000,0.0130,0.0000
n,ħ,0.0100,1.0000,0.0100,0.0000
m,a,0.0020,1.0000,0.0020,0.0000
ʃ,a,0.0030,1.0000,0.0030,0.0000
j,n,0.0440,1.0000,0.0440,0.0000
