gold,pred,time_sec,support,mean, median,variance
a,a,6.9100,78.0000,0.0886,0.0017
UNK,a,4.7800,53.0000,0.0902,0.0014
i,i,4.0070,42.0000,0.0954,0.0019
UNK,i,3.1800,34.0000,0.0935,0.0020
n,n,2.6300,29.0000,0.0907,0.0039
u,u,2.3530,25.0000,0.0941,0.0020
s,s,2.9490,23.0000,0.1282,0.0061
UNK,n,1.8610,22.0000,0.0846,0.0022
r,r,1.2730,22.0000,0.0579,0.0005
t,t,1.6080,21.0000,0.0766,0.0020
d,d,1.7990,19.0000,0.0947,0.0038
m,m,1.6170,17.0000,0.0951,0.0035
UNK,s,2.2100,15.0000,0.1473,0.0038
UNK,t,1.1900,14.0000,0.0850,0.0027
UNK,m,1.2500,13.0000,0.0962,0.0041
UNK,d,1.1700,13.0000,0.0900,0.0032
UNK,r,0.8500,13.0000,0.0654,0.0003
UNK,u,1.1000,12.0000,0.0917,0.0013
j,j,0.8980,10.0000,0.0898,0.0011
l,l,0.5310,10.0000,0.0531,0.0005
g,g,0.5680,9.0000,0.0631,0.0008
d:,d:,1.3650,9.0000,0.1517,0.0033
ʁ,ʁ,0.7600,8.0000,0.0950,0.0012
UNK,l,0.7300,8.0000,0.0913,0.0047
w,w,0.9940,8.0000,0.1243,0.0006
f,f,0.8060,8.0000,0.1008,0.0006
a,UNK,1.4730,7.0000,0.2104,0.0076
s:,s:,1.3310,7.0000,0.1901,0.0025
UNK,g,0.4780,6.0000,0.0797,0.0001
UNK,d:,0.9000,6.0000,0.1500,0.0048
UNK,f,0.5900,6.0000,0.0983,0.0008
s,UNK,1.4900,6.0000,0.2483,0.0093
l:,l:,0.6150,5.0000,0.1230,0.0009
a,ʁ,0.1420,5.0000,0.0284,0.0003
a,j,0.1830,5.0000,0.0366,0.0003
z,z,0.3220,5.0000,0.0644,0.0003
t,UNK,1.1480,5.0000,0.2296,0.0073
UNK,j,0.4910,5.0000,0.0982,0.0005
UNK,w,0.6850,5.0000,0.1370,0.0004
UNK,s:,0.9400,5.0000,0.1880,0.0033
n,UNK,0.8650,5.0000,0.1730,0.0039
b,b,0.2630,5.0000,0.0526,0.0006
ʁ,UNK,0.7410,4.0000,0.1853,0.0011
s,t,0.1560,4.0000,0.0390,0.0006
UNK,z,0.2900,4.0000,0.0725,0.0001
n:,n:,0.5200,4.0000,0.1300,0.0082
UNK,l:,0.5100,4.0000,0.1275,0.0021
χ:,χ:,0.4200,3.0000,0.1400,0.0049
b,UNK,0.2670,3.0000,0.0890,0.0009
u,UNK,0.4010,3.0000,0.1337,0.0049
d,UNK,0.3850,3.0000,0.1283,0.0081
k:,k:,0.3000,3.0000,0.1000,0.0050
UNK,n:,0.4900,3.0000,0.1633,0.0065
dˤ,dˤ,0.2910,3.0000,0.0970,0.0004
UNK,b,0.2300,3.0000,0.0767,0.0001
i,d,0.0190,3.0000,0.0063,0.0000
n,s,0.0420,3.0000,0.0140,0.0000
a,r,0.0680,3.0000,0.0227,0.0001
d:,a,0.0930,3.0000,0.0310,0.0005
g,UNK,0.6520,3.0000,0.2173,0.0123
n,i,0.1640,3.0000,0.0547,0.0048
a,w,0.0610,2.0000,0.0305,0.0000
