gold,pred,time_sec,support,mean, median,variance
a,a,6.1750,69.0000,0.0895,0.0021
i,i,3.7930,40.0000,0.0948,0.0016
UNK,a,3.2500,32.0000,0.1016,0.0018
n,n,2.3120,27.0000,0.0856,0.0023
UNK,i,2.2300,25.0000,0.0892,0.0008
u,u,2.2150,24.0000,0.0923,0.0015
r,r,1.0590,21.0000,0.0504,0.0003
s,s,2.9990,21.0000,0.1428,0.0055
t,t,1.2700,19.0000,0.0668,0.0017
m,m,1.3070,16.0000,0.0817,0.0023
d,d,1.6540,16.0000,0.1034,0.0037
UNK,n,1.2510,15.0000,0.0834,0.0013
UNK,m,1.0600,13.0000,0.0815,0.0025
UNK,s,1.8600,11.0000,0.1691,0.0027
UNK,t,0.6530,10.0000,0.0653,0.0012
j,j,0.8910,9.0000,0.0990,0.0007
d:,d:,1.3650,9.0000,0.1517,0.0035
r,a,0.2480,8.0000,0.0310,0.0009
f,f,0.7930,8.0000,0.0991,0.0006
UNK,u,0.7100,8.0000,0.0887,0.0012
l,l,0.5750,8.0000,0.0719,0.0018
w,w,0.8650,7.0000,0.1236,0.0006
s:,s:,1.1410,7.0000,0.1630,0.0050
UNK,r,0.3700,7.0000,0.0529,0.0001
g,g,0.4030,7.0000,0.0576,0.0008
UNK,d,0.6100,6.0000,0.1017,0.0018
ʁ,ʁ,0.5610,6.0000,0.0935,0.0009
UNK,j,0.5110,5.0000,0.1022,0.0003
UNK,d:,0.7500,5.0000,0.1500,0.0060
b,b,0.2730,5.0000,0.0546,0.0009
UNK,l,0.7000,5.0000,0.1400,0.0191
a,UNK,1.0270,5.0000,0.2054,0.0140
s,UNK,1.3000,5.0000,0.2600,0.0104
UNK,w,0.5250,4.0000,0.1313,0.0004
n,UNK,0.8700,4.0000,0.2175,0.0007
a,j,0.1600,4.0000,0.0400,0.0003
n:,n:,0.3100,4.0000,0.0775,0.0029
l:,l:,0.4420,4.0000,0.1105,0.0014
i,UNK,0.6360,4.0000,0.1590,0.0082
d,UNK,0.4600,4.0000,0.1150,0.0072
i,d,0.0310,4.0000,0.0078,0.0000
ʁ,UNK,0.7410,4.0000,0.1853,0.0011
z,z,0.2400,4.0000,0.0600,0.0005
t,UNK,0.8400,4.0000,0.2100,0.0038
UNK,f,0.4300,4.0000,0.1075,0.0022
a,ʁ,0.0710,4.0000,0.0177,0.0001
a,r,0.0530,4.0000,0.0132,0.0000
s,t,0.3500,4.0000,0.0875,0.0061
r,UNK,0.3160,4.0000,0.0790,0.0004
n,i,0.1420,4.0000,0.0355,0.0021
UNK,s:,0.4900,3.0000,0.1633,0.0003
t:,t:,0.4100,3.0000,0.1367,0.0176
k:,k:,0.3000,3.0000,0.1000,0.0051
a,n,0.0300,3.0000,0.0100,0.0000
UNK,n:,0.2700,3.0000,0.0900,0.0032
n,d,0.0770,3.0000,0.0257,0.0002
UNK,z,0.2100,3.0000,0.0700,0.0003
UNK,l:,0.4000,3.0000,0.1333,0.0012
dˤ,dˤ,0.2410,3.0000,0.0803,0.0019
w,i,0.0360,3.0000,0.0120,0.0000
n,s,0.0410,3.0000,0.0137,0.0001
d:,a,0.0830,3.0000,0.0277,0.0006
g,UNK,0.6230,3.0000,0.2077,0.0147
r,u,0.0280,3.0000,0.0093,0.0000
a,d,0.0300,3.0000,0.0100,0.0000
UNK,g,0.2600,3.0000,0.0867,0.0001
a,d:,0.0240,3.0000,0.0080,0.0000
i,r,0.1000,2.0000,0.0500,0.0016
i,s:,0.0200,2.0000,0.0100,0.0000
χ:,χ:,0.3700,2.0000,0.1850,0.0012
UNK,χ:,0.3700,2.0000,0.1850,0.0012
r,t,0.0520,2.0000,0.0260,0.0000
n,t,0.0200,2.0000,0.0100,0.0000
n,l,0.3000,2.0000,0.1500,0.0081
ħ,ħ,0.1780,2.0000,0.0890,0.0001
n,r,0.0690,2.0000,0.0345,0.0007
t,u,0.0150,2.0000,0.0075,0.0000
u,dˤ,0.1010,2.0000,0.0505,0.0016
UNK,b,0.1400,2.0000,0.0700,0.0000
rˤ,rˤ,0.1100,2.0000,0.0550,0.0000
m,u,0.1030,2.0000,0.0515,0.0015
u,UNK,0.3010,2.0000,0.1505,0.0065
θ,t,0.1390,2.0000,0.0695,0.0001
m,r,0.0600,2.0000,0.0300,0.0000
s,u,0.0130,2.0000,0.0065,0.0000
k:,a,0.0270,2.0000,0.0135,0.0000
a,i,0.0460,2.0000,0.0230,0.0000
t,a,0.0740,2.0000,0.0370,0.0007
w,a,0.0360,2.0000,0.0180,0.0001
a,w,0.0100,1.0000,0.0100,0.0000
t:,r,0.0100,1.0000,0.0100,0.0000
t:,d:,0.0260,1.0000,0.0260,0.0000
n,u,0.0100,1.0000,0.0100,0.0000
m,n,0.0600,1.0000,0.0600,0.0000
n,d:,0.0130,1.0000,0.0130,0.0000
u,d,0.0150,1.0000,0.0150,0.0000
j,a,0.0100,1.0000,0.0100,0.0000
UNK,k:,0.0400,1.0000,0.0400,0.0000
t:,n,0.0200,1.0000,0.0200,0.0000
UNK,t:,0.3200,1.0000,0.3200,0.0000
l:,i,0.0200,1.0000,0.0200,0.0000
m,t,0.0100,1.0000,0.0100,0.0000
χ,χ,0.1000,1.0000,0.1000,0.0000
χ,f,0.0100,1.0000,0.0100,0.0000
sˤ:,l,0.0100,1.0000,0.0100,0.0000
sˤ:,sˤ:,0.1100,1.0000,0.1100,0.0000
sˤ:,ħ,0.0100,1.0000,0.0100,0.0000
UNK,ħ,0.1100,1.0000,0.1100,0.0000
k,k,0.0800,1.0000,0.0800,0.0000
UNK,k,0.0800,1.0000,0.0800,0.0000
b,n,0.0280,1.0000,0.0280,0.0000
n,ħ,0.0220,1.0000,0.0220,0.0000
s:,n:,0.0100,1.0000,0.0100,0.0000
n:,UNK,0.3400,1.0000,0.3400,0.0000
u,l:,0.0180,1.0000,0.0180,0.0000
dˤ,f,0.0640,1.0000,0.0640,0.0000
t,i,0.0090,1.0000,0.0090,0.0000
rˤ,dˤ,0.0680,1.0000,0.0680,0.0000
UNK,rˤ,0.0600,1.0000,0.0600,0.0000
m,UNK,0.1320,1.0000,0.1320,0.0000
d,i,0.0020,1.0000,0.0020,0.0000
l,s:,0.0190,1.0000,0.0190,0.0000
m,l,0.0100,1.0000,0.0100,0.0000
rˤ,f,0.0100,1.0000,0.0100,0.0000
a,rˤ,0.0300,1.0000,0.0300,0.0000
n,a,0.0090,1.0000,0.0090,0.0000
b,a,0.0300,1.0000,0.0300,0.0000
b,r,0.0400,1.0000,0.0400,0.0000
d:,b,0.1460,1.0000,0.1460,0.0000
d:,t:,0.0100,1.0000,0.0100,0.0000
d:,zˤ,0.0380,1.0000,0.0380,0.0000
zˤ,zˤ,0.0720,1.0000,0.0720,0.0000
zˤ,a,0.0060,1.0000,0.0060,0.0000
l:,a,0.0100,1.0000,0.0100,0.0000
i,n,0.0100,1.0000,0.0100,0.0000
s,l,0.0450,1.0000,0.0450,0.0000
l,m,0.0510,1.0000,0.0510,0.0000
q:,q:,0.1200,1.0000,0.1200,0.0000
UNK,q:,0.1200,1.0000,0.1200,0.0000
t,l,0.1380,1.0000,0.1380,0.0000
n:,i,0.1600,1.0000,0.1600,0.0000
t:,UNK,0.1690,1.0000,0.1690,0.0000
ʒ:,ʒ:,0.2500,1.0000,0.2500,0.0000
u,ʒ:,0.0100,1.0000,0.0100,0.0000
dˤ,UNK,0.0740,1.0000,0.0740,0.0000
i,s,0.0080,1.0000,0.0080,0.0000
j,i,0.1690,1.0000,0.1690,0.0000
