iso,sentence,time_total,time_corr_abs,time_corr_perc
shi_phon,common_voice_22_0_0,8.0400,4.2330,0.5260
shi_word,common_voice_22_0_0,8.5600,4.5830,0.5350
shi_word_nostop,common_voice_22_0_0,7.8330,4.4330,0.5660
shi_phon,common_voice_22_0_1,9.0820,4.8380,0.5330
shi_word,common_voice_22_0_1,9.4240,5.1900,0.5510
shi_word_nostop,common_voice_22_0_1,9.0740,4.6600,0.5140
shi_phon,common_voice_22_0_2,6.6070,3.9830,0.6030
shi_word,common_voice_22_0_2,7.6940,4.6680,0.6070
shi_word_nostop,common_voice_22_0_2,8.0930,4.2260,0.5220
shi_phon,common_voice_22_0_3,5.3210,2.8910,0.5430
shi_word,common_voice_22_0_3,5.5800,3.3930,0.6080
shi_word_nostop,common_voice_22_0_3,5.1690,3.0780,0.5950
shi_phon,common_voice_22_0_4,6.8120,3.9210,0.5760
shi_word,common_voice_22_0_4,6.5880,4.2770,0.6490
shi_word_nostop,common_voice_22_0_4,6.0280,3.8390,0.6370
shi_phon,common_voice_22_0_5,5.9800,3.1890,0.5330
shi_word,common_voice_22_0_5,5.3430,3.8140,0.7140
shi_word_nostop,common_voice_22_0_5,5.4690,3.4940,0.6390
shi_phon,common_voice_22_0_6,5.5000,2.6110,0.4750
shi_word,common_voice_22_0_6,5.1590,3.4690,0.6720
shi_word_nostop,common_voice_22_0_6,5.6540,3.1700,0.5610
shi_phon,common_voice_22_0_7,5.8600,3.3190,0.5660
shi_word,common_voice_22_0_7,5.0700,3.8050,0.7500
shi_word_nostop,common_voice_22_0_7,5.4120,3.4370,0.6350
shi_phon,common_voice_22_0_8,6.1400,3.5170,0.5730
shi_word,common_voice_22_0_8,6.0700,3.9620,0.6530
shi_word_nostop,common_voice_22_0_8,5.5380,3.5520,0.6410
shi_phon,common_voice_22_0_9,5.8550,3.0760,0.5250
shi_word,common_voice_22_0_9,5.8450,3.6010,0.6160
shi_word_nostop,common_voice_22_0_9,6.4270,3.3070,0.5150
shi_phon,common_voice_22_0_10,5.7000,2.9360,0.5150
shi_word,common_voice_22_0_10,4.7100,3.4050,0.7230
shi_word_nostop,common_voice_22_0_10,4.9690,3.1450,0.6330
shi_phon,common_voice_22_0_11,5.2950,2.9920,0.5650
shi_word,common_voice_22_0_11,5.8720,3.4420,0.5860
shi_word_nostop,common_voice_22_0_11,5.6280,3.2990,0.5860
shi_phon,common_voice_22_0_12,5.0300,2.8760,0.5720
shi_word,common_voice_22_0_12,4.0000,3.1890,0.7970
shi_word_nostop,common_voice_22_0_12,4.5200,2.9790,0.6590
shi_phon,common_voice_22_0_13,6.4670,3.3260,0.5140
shi_word,common_voice_22_0_13,6.1720,3.5320,0.5720
shi_word_nostop,common_voice_22_0_13,5.6730,2.8420,0.5010
shi_phon,common_voice_22_0_14,5.3400,2.8530,0.5340
shi_word,common_voice_22_0_14,5.3600,3.1320,0.5840
shi_word_nostop,common_voice_22_0_14,4.5700,2.7020,0.5910
shi_phon,common_voice_22_0_15,6.3650,3.1010,0.4870
shi_word,common_voice_22_0_15,6.3650,3.4470,0.5420
shi_word_nostop,common_voice_22_0_15,5.7990,3.1140,0.5370
shi_phon,common_voice_22_0_16,5.5860,3.2740,0.5860
shi_word,common_voice_22_0_16,6.0780,3.6790,0.6050
shi_word_nostop,common_voice_22_0_16,5.8150,3.3390,0.5740
shi_phon,common_voice_22_0_17,5.1590,2.8480,0.5520
shi_word,common_voice_22_0_17,4.8570,3.1160,0.6420
shi_word_nostop,common_voice_22_0_17,5.2390,2.8650,0.5470
shi_phon,common_voice_22_0_18,6.4870,3.4020,0.5240
shi_word,common_voice_22_0_18,6.5470,3.6480,0.5570
shi_word_nostop,common_voice_22_0_18,5.8470,3.3810,0.5780
shi_phon,common_voice_22_0_19,5.3150,2.6940,0.5070
shi_word,common_voice_22_0_19,4.6860,3.1600,0.6740
shi_word_nostop,common_voice_22_0_19,4.5700,2.8150,0.6160
tzm_phon,common_voice_22_0_1,4.6910,2.4670,0.5260
tzm_word,common_voice_22_0_1,4.7710,2.4800,0.5200
tzm_word_nostop,common_voice_22_0_1,4.1710,2.1600,0.5180
tzm_phon,common_voice_22_0_2,4.1710,2.3650,0.5670
tzm_word,common_voice_22_0_2,4.2710,2.5910,0.6070
tzm_word_nostop,common_voice_22_0_2,4.3410,2.3810,0.5480
tzm_phon,common_voice_22_0_3,5.0160,2.5240,0.5030
tzm_word,common_voice_22_0_3,5.5170,2.9850,0.5410
tzm_word_nostop,common_voice_22_0_3,4.4820,2.3650,0.5280
