gold,pred,time_sec,support,mean, median,variance
a,a,7.9340,153.0000,0.0519,0.0005
i,i,6.2310,127.0000,0.0491,0.0005
n,n,4.4960,87.0000,0.0517,0.0005
t,t,3.5930,51.0000,0.0705,0.0009
s,s,4.6520,49.0000,0.0949,0.0006
u,u,2.9830,46.0000,0.0648,0.0005
UNK,a,2.6900,42.0000,0.0640,0.0004
r,r,1.3600,42.0000,0.0324,0.0004
m,m,2.5950,41.0000,0.0633,0.0003
UNK,t,3.0400,39.0000,0.0779,0.0010
g,g,2.2340,39.0000,0.0573,0.0005
UNK,i,1.9500,36.0000,0.0542,0.0014
d,d,2.1240,35.0000,0.0607,0.0005
a,UNK,2.7520,28.0000,0.0983,0.0030
l,l,1.3100,25.0000,0.0524,0.0003
UNK,s,2.4100,23.0000,0.1048,0.0004
k,k,1.4250,22.0000,0.0648,0.0009
j,j,0.9930,22.0000,0.0451,0.0005
n,i,0.2730,21.0000,0.0130,0.0002
UNK,n,1.0700,20.0000,0.0535,0.0002
n,UNK,1.7190,18.0000,0.0955,0.0037
w,w,1.2550,17.0000,0.0738,0.0005
r,a,0.2510,17.0000,0.0148,0.0001
ʁ,ʁ,0.9470,17.0000,0.0557,0.0007
UNK,m,0.9500,15.0000,0.0633,0.0005
i,UNK,1.5690,14.0000,0.1121,0.0037
d,a,0.1400,14.0000,0.0100,0.0000
t:,t,0.6760,13.0000,0.0520,0.0011
UNK,u,0.8100,13.0000,0.0623,0.0004
UNK,d,0.9400,12.0000,0.0783,0.0009
f,f,0.8850,12.0000,0.0738,0.0007
i,n,0.2220,11.0000,0.0202,0.0001
a,j,0.2110,11.0000,0.0192,0.0001
dˤ,dˤ,0.8270,11.0000,0.0752,0.0005
i,w,0.1630,10.0000,0.0163,0.0000
UNK,g,0.6300,10.0000,0.0630,0.0004
i,s,0.0820,9.0000,0.0091,0.0000
ʃ,ʃ,0.8220,9.0000,0.0913,0.0008
n:,n:,1.1450,9.0000,0.1272,0.0015
a,r,0.0720,9.0000,0.0080,0.0000
n,t,0.1220,9.0000,0.0136,0.0001
a,g,0.1380,9.0000,0.0153,0.0002
b,b,0.4600,9.0000,0.0511,0.0008
a,m,0.1480,9.0000,0.0164,0.0004
s:,s:,1.3920,9.0000,0.1547,0.0002
z,z,0.8170,9.0000,0.0908,0.0003
l:,l:,0.7470,9.0000,0.0830,0.0012
n,g,0.1990,8.0000,0.0249,0.0002
l,i,0.0900,8.0000,0.0112,0.0000
a,s,0.0740,8.0000,0.0092,0.0000
UNK,k,0.7800,8.0000,0.0975,0.0010
UNK,f,0.6610,8.0000,0.0826,0.0008
a,n,0.1680,8.0000,0.0210,0.0005
j,i,0.3190,8.0000,0.0399,0.0011
s,t,0.4170,8.0000,0.0521,0.0021
t:,t:,0.6600,7.0000,0.0943,0.0016
a,w,0.1810,7.0000,0.0259,0.0001
l,a,0.0700,7.0000,0.0100,0.0000
i,t,0.0590,7.0000,0.0084,0.0000
t,UNK,0.6870,7.0000,0.0981,0.0029
a,d,0.0760,7.0000,0.0109,0.0000
r,UNK,0.4610,7.0000,0.0659,0.0003
UNK,l,0.3900,7.0000,0.0557,0.0002
ʁ,UNK,0.8200,7.0000,0.1171,0.0020
a,k,0.0570,6.0000,0.0095,0.0000
i,m,0.0670,6.0000,0.0112,0.0000
a,t,0.1000,6.0000,0.0167,0.0001
a,dˤ,0.1930,6.0000,0.0322,0.0009
j,a,0.0810,6.0000,0.0135,0.0000
UNK,s:,0.9800,6.0000,0.1633,0.0001
r,u,0.1670,6.0000,0.0278,0.0001
n,s,0.0520,6.0000,0.0087,0.0000
g,u,0.0950,6.0000,0.0158,0.0001
rˤ,rˤ,0.3220,6.0000,0.0537,0.0001
g,t,0.1280,6.0000,0.0213,0.0001
