gold,pred,time_sec,support,mean, median,variance
a,a,2.3110,51.0000,0.0453,0.0007
i,i,2.0330,30.0000,0.0678,0.0012
a,UNK,3.5160,29.0000,0.1212,0.0050
n,UNK,2.5780,19.0000,0.1357,0.0039
UNK,a,0.8300,19.0000,0.0437,0.0011
u,u,1.0150,19.0000,0.0534,0.0011
n,n,0.7270,17.0000,0.0428,0.0005
s,s,1.7360,17.0000,0.1021,0.0037
r,r,0.3160,15.0000,0.0211,0.0005
i,UNK,1.6860,15.0000,0.1124,0.0030
t,t,1.1820,14.0000,0.0844,0.0021
UNK,i,0.6800,13.0000,0.0523,0.0014
d,d,0.7520,13.0000,0.0578,0.0008
r,UNK,0.7270,10.0000,0.0727,0.0004
u,UNK,1.3360,10.0000,0.1336,0.0026
m,UNK,1.1860,9.0000,0.1318,0.0046
s,UNK,2.2160,9.0000,0.2462,0.0052
m,m,0.2740,8.0000,0.0343,0.0004
t,UNK,1.1200,8.0000,0.1400,0.0064
a,n,0.2100,7.0000,0.0300,0.0005
w,w,0.6000,7.0000,0.0857,0.0012
s:,s:,1.1610,7.0000,0.1659,0.0066
UNK,t,0.7390,7.0000,0.1056,0.0069
l,l,0.2620,7.0000,0.0374,0.0003
j,j,0.3330,6.0000,0.0555,0.0013
a,j,0.2470,6.0000,0.0412,0.0005
r,a,0.1190,6.0000,0.0198,0.0001
f,f,0.5460,6.0000,0.0910,0.0011
d,UNK,0.8410,6.0000,0.1402,0.0064
UNK,n,0.2000,5.0000,0.0400,0.0002
a,w,0.1000,5.0000,0.0200,0.0000
d:,UNK,0.8330,5.0000,0.1666,0.0009
j,UNK,0.6560,5.0000,0.1312,0.0042
UNK,r,0.0900,5.0000,0.0180,0.0001
a,m,0.1100,5.0000,0.0220,0.0001
UNK,s,0.6700,5.0000,0.1340,0.0046
n,a,0.0390,4.0000,0.0098,0.0000
d:,d:,0.2500,4.0000,0.0625,0.0016
ʁ,ʁ,0.3160,4.0000,0.0790,0.0046
n,i,0.0420,4.0000,0.0105,0.0000
b,b,0.2330,4.0000,0.0583,0.0006
UNK,d:,0.1300,4.0000,0.0325,0.0002
t,a,0.0840,4.0000,0.0210,0.0001
ʁ,UNK,0.6160,4.0000,0.1540,0.0033
a,i,0.1260,4.0000,0.0315,0.0003
g,UNK,0.6330,4.0000,0.1583,0.0147
a,r,0.0720,4.0000,0.0180,0.0002
t:,UNK,0.7050,3.0000,0.2350,0.0056
