iso,sentence,time_total,time_corr_abs,time_corr_perc
shi,common_voice_22_0_0,15.641000000000009,4.645999999999999,0.297
shi,common_voice_22_0_1,16.263999999999996,4.9799999999999995,0.306
shi,common_voice_22_0_2,14.573999999999998,4.132999999999999,0.284
shi,common_voice_22_0_3,11.042000000000002,3.12,0.283
shi,common_voice_22_0_4,13.815999999999988,4.055999999999999,0.294
shi,common_voice_22_0_5,12.260000000000009,3.279,0.267
shi,common_voice_22_0_6,11.189000000000007,2.9480000000000004,0.263
shi,common_voice_22_0_7,12.150000000000002,3.5260000000000002,0.29
shi,common_voice_22_0_8,12.72000000000001,3.3220000000000005,0.261
shi,common_voice_22_0_9,11.470000000000002,3.0950000000000006,0.27
shi,common_voice_22_0_10,10.330000000000002,2.9459999999999997,0.285
shi,common_voice_22_0_11,10.99,3.0209999999999995,0.275
shi,common_voice_22_0_12,10.070000000000007,3.06,0.304
shi,common_voice_22_0_13,12.550000000000002,3.536999999999999,0.282
shi,common_voice_22_0_14,9.530000000000005,2.8750000000000004,0.302
shi,common_voice_22_0_15,11.623000000000008,3.3219999999999996,0.286
shi,common_voice_22_0_16,11.19,3.3719999999999994,0.301
shi,common_voice_22_0_17,10.132000000000012,2.8760000000000003,0.284
shi,common_voice_22_0_18,11.983000000000004,3.402,0.284
shi,common_voice_22_0_19,9.87,2.75,0.279
tzm,common_voice_22_0_0,8.864000000000004,2.429,0.274
tzm,common_voice_22_0_1,11.217000000000006,3.603000000000001,0.321
tzm,common_voice_22_0_2,8.671,2.7769999999999997,0.32
tzm,common_voice_22_0_3,7.240999999999998,2.16,0.298
tzm,common_voice_22_0_4,9.316000000000003,2.5140000000000002,0.27
tzm,common_voice_22_0_6,5.75,1.5510000000000002,0.27
tzm,common_voice_22_0_6,5.75,1.5510000000000002,0.27
tzm,common_voice_22_0_7,8.938,2.5589999999999997,0.286
tzm,common_voice_22_0_8,7.879,2.3410000000000006,0.297
tzm,common_voice_22_0_9,7.420000000000002,2.138000000000001,0.288
tzm,common_voice_22_0_10,5.296000000000001,1.392,0.263
tzm,common_voice_22_0_11,5.4979999999999976,1.626,0.296
tzm,common_voice_22_0_12,5.305999999999998,1.517,0.286
tzm,common_voice_22_0_13,4.500000000000001,0.9480000000000002,0.211
tzm,common_voice_22_0_14,5.719999999999997,1.5029999999999992,0.263
tzm,common_voice_22_0_15,4.320000000000001,1.073,0.248
tzm,common_voice_22_0_16,5.55,1.8860000000000001,0.34
tzm,common_voice_22_0_17,4.446999999999999,1.417,0.319
tzm,common_voice_22_0_18,4.965999999999999,1.4930000000000005,0.301
