iso,sentence,time_total,time_corr_abs,time_corr_perc
shi_phon,common_voice_22_0_0,8.7470,4.6460,0.5310
shi_word,common_voice_22_0_0,8.7470,4.6460,0.5310
shi_word_nostop,common_voice_22_0_0,8.4230,4.5460,0.5400
shi_phon,common_voice_22_0_1,10.5080,4.9800,0.4740
shi_word,common_voice_22_0_1,10.5080,4.9800,0.4740
shi_word_nostop,common_voice_22_0_1,9.0740,4.7100,0.5190
shi_phon,common_voice_22_0_2,7.4030,4.1330,0.5580
shi_word,common_voice_22_0_2,7.4030,4.1330,0.5580
shi_word_nostop,common_voice_22_0_2,8.2270,4.3010,0.5230
shi_phon,common_voice_22_0_3,5.9590,3.1200,0.5240
shi_word,common_voice_22_0_3,5.9590,3.1200,0.5240
shi_word_nostop,common_voice_22_0_3,5.9710,3.2590,0.5460
shi_phon,common_voice_22_0_4,7.5900,4.0560,0.5340
shi_word,common_voice_22_0_4,7.5900,4.0560,0.5340
shi_word_nostop,common_voice_22_0_4,7.3790,3.9550,0.5360
shi_phon,common_voice_22_0_5,6.1800,3.2790,0.5310
shi_word,common_voice_22_0_5,6.1800,3.2790,0.5310
shi_word_nostop,common_voice_22_0_5,5.4550,3.4800,0.6380
shi_phon,common_voice_22_0_6,6.4590,2.9480,0.4560
shi_word,common_voice_22_0_6,6.4590,2.9480,0.4560
shi_word_nostop,common_voice_22_0_6,5.6260,3.1920,0.5670
shi_phon,common_voice_22_0_7,7.1100,3.5260,0.4960
shi_word,common_voice_22_0_7,7.1100,3.5260,0.4960
shi_word_nostop,common_voice_22_0_7,5.6540,3.3860,0.5990
shi_phon,common_voice_22_0_8,6.7000,3.3220,0.4960
shi_word,common_voice_22_0_8,6.7000,3.3220,0.4960
shi_word_nostop,common_voice_22_0_8,5.5780,3.2780,0.5880
shi_phon,common_voice_22_0_9,6.6850,3.0950,0.4630
shi_word,common_voice_22_0_9,6.6850,3.0950,0.4630
shi_word_nostop,common_voice_22_0_9,6.2670,3.3350,0.5320
shi_phon,common_voice_22_0_10,6.3300,2.9460,0.4650
shi_word,common_voice_22_0_10,6.3300,2.9460,0.4650
shi_word_nostop,common_voice_22_0_10,5.1890,2.9450,0.5680
shi_phon,common_voice_22_0_11,5.6400,3.0210,0.5360
shi_word,common_voice_22_0_11,5.6400,3.0210,0.5360
shi_word_nostop,common_voice_22_0_11,5.5980,3.2770,0.5850
shi_phon,common_voice_22_0_12,5.7900,3.0600,0.5280
shi_word,common_voice_22_0_12,5.7900,3.0600,0.5280
shi_word_nostop,common_voice_22_0_12,5.4400,3.0490,0.5600
shi_phon,common_voice_22_0_13,6.7270,3.5370,0.5260
shi_word,common_voice_22_0_13,6.7270,3.5370,0.5260
shi_word_nostop,common_voice_22_0_13,6.0510,2.9400,0.4860
shi_phon,common_voice_22_0_14,5.9600,2.8750,0.4820
shi_word,common_voice_22_0_14,5.9600,2.8750,0.4820
shi_word_nostop,common_voice_22_0_14,4.5100,2.6520,0.5880
shi_phon,common_voice_22_0_15,6.8550,3.3220,0.4850
shi_word,common_voice_22_0_15,6.8550,3.3220,0.4850
shi_word_nostop,common_voice_22_0_15,5.8590,3.2040,0.5470
shi_phon,common_voice_22_0_16,6.6560,3.3720,0.5070
shi_word,common_voice_22_0_16,6.6560,3.3720,0.5070
shi_word_nostop,common_voice_22_0_16,6.1650,3.3490,0.5430
shi_phon,common_voice_22_0_17,5.7420,2.8760,0.5010
shi_word,common_voice_22_0_17,5.7420,2.8760,0.5010
shi_word_nostop,common_voice_22_0_17,5.2290,2.8750,0.5500
shi_phon,common_voice_22_0_18,6.8400,3.4020,0.4970
shi_word,common_voice_22_0_18,6.8400,3.4020,0.4970
shi_word_nostop,common_voice_22_0_18,6.3770,3.4210,0.5360
shi_phon,common_voice_22_0_19,5.7950,2.7500,0.4750
shi_word,common_voice_22_0_19,5.7950,2.7500,0.4750
shi_word_nostop,common_voice_22_0_19,5.0100,2.8460,0.5680
tzm_phon,common_voice_22_0_0,4.7480,2.4290,0.5120
tzm_word,common_voice_22_0_0,4.7480,2.4290,0.5120
tzm_word_nostop,common_voice_22_0_0,5.4510,2.7500,0.5040
tzm_phon,common_voice_22_0_1,6.9570,3.6030,0.5180
tzm_word,common_voice_22_0_1,6.9570,3.6030,0.5180
tzm_word_nostop,common_voice_22_0_1,6.5970,3.4710,0.5260
tzm_phon,common_voice_22_0_2,5.4290,2.7770,0.5120
tzm_word,common_voice_22_0_2,5.4290,2.7770,0.5120
tzm_word_nostop,common_voice_22_0_2,4.5110,2.5200,0.5590
tzm_phon,common_voice_22_0_3,4.5130,2.1600,0.4790
tzm_word,common_voice_22_0_3,4.5130,2.1600,0.4790
tzm_word_nostop,common_voice_22_0_3,4.0530,2.1400,0.5280
tzm_phon,common_voice_22_0_4,5.6260,2.5140,0.4470
tzm_word,common_voice_22_0_4,5.6260,2.5140,0.4470
tzm_word_nostop,common_voice_22_0_4,4.4320,2.3250,0.5250
tzm_phon,common_voice_22_0_6,3.1590,1.5510,0.4910
tzm_word,common_voice_22_0_6,3.1590,1.5510,0.4910
tzm_word_nostop,common_voice_22_0_6,2.5900,1.6090,0.6210
tzm_phon,common_voice_22_0_6,3.1590,1.5510,0.4910
tzm_word,common_voice_22_0_6,3.1590,1.5510,0.4910
tzm_word_nostop,common_voice_22_0_6,2.5900,1.6090,0.6210
tzm_phon,common_voice_22_0_7,5.3760,2.5590,0.4760
tzm_word,common_voice_22_0_7,5.3760,2.5590,0.4760
tzm_word_nostop,common_voice_22_0_7,4.5090,2.5710,0.5700
tzm_phon,common_voice_22_0_8,4.3180,2.3410,0.5420
tzm_word,common_voice_22_0_8,4.3180,2.3410,0.5420
tzm_word_nostop,common_voice_22_0_8,3.1270,1.9730,0.6310
tzm_phon,common_voice_22_0_9,4.0100,2.1380,0.5330
tzm_word,common_voice_22_0_9,4.0100,2.1380,0.5330
tzm_word_nostop,common_voice_22_0_9,2.7100,1.8500,0.6830
tzm_phon,common_voice_22_0_10,2.9990,1.3920,0.4640
tzm_word,common_voice_22_0_10,2.9990,1.3920,0.4640
tzm_word_nostop,common_voice_22_0_10,2.2060,1.3470,0.6110
tzm_phon,common_voice_22_0_11,3.2890,1.6260,0.4940
tzm_word,common_voice_22_0_11,3.2890,1.6260,0.4940
tzm_word_nostop,common_voice_22_0_11,2.8550,1.4240,0.4990
tzm_phon,common_voice_22_0_12,3.0290,1.5170,0.5010
tzm_word,common_voice_22_0_12,3.0290,1.5170,0.5010
tzm_word_nostop,common_voice_22_0_12,2.8390,1.6580,0.5840
tzm_phon,common_voice_22_0_13,2.0100,0.9480,0.4720
tzm_word,common_voice_22_0_13,2.0100,0.9480,0.4720
tzm_word_nostop,common_voice_22_0_13,2.0430,1.0610,0.5190
tzm_phon,common_voice_22_0_14,2.9390,1.5030,0.5110
tzm_word,common_voice_22_0_14,2.9390,1.5030,0.5110
tzm_word_nostop,common_voice_22_0_14,2.5710,1.4410,0.5600
tzm_phon,common_voice_22_0_15,2.6660,1.0730,0.4020
tzm_word,common_voice_22_0_15,2.6660,1.0730,0.4020
tzm_word_nostop,common_voice_22_0_15,2.0160,1.1400,0.5650
tzm_phon,common_voice_22_0_16,3.0400,1.8860,0.6200
tzm_word,common_voice_22_0_16,3.0400,1.8860,0.6200
tzm_word_nostop,common_voice_22_0_16,3.1410,1.9200,0.6110
tzm_phon,common_voice_22_0_17,2.6000,1.4170,0.5450
tzm_word,common_voice_22_0_17,2.6000,1.4170,0.5450
tzm_word_nostop,common_voice_22_0_17,2.4100,1.4730,0.6110
tzm_phon,common_voice_22_0_18,2.3820,1.4930,0.6270
tzm_word,common_voice_22_0_18,2.3820,1.4930,0.6270
tzm_word_nostop,common_voice_22_0_18,2.8090,1.6490,0.5870
