gold,pred,time_sec,support,mean, median,variance
t,t,14.0580,196.0000,0.0717,0.0018
n,n,17.6820,164.0000,0.1078,0.0037
UNK,t,10.6300,138.0000,0.0770,0.0019
r,r,5.5500,93.0000,0.0597,0.0010
m,m,7.0830,91.0000,0.0778,0.0009
UNK,n,13.0400,78.0000,0.1672,0.0058
UNK,m,5.6200,67.0000,0.0839,0.0013
i,i,4.6330,58.0000,0.0799,0.0019
n,UNK,6.8610,53.0000,0.1295,0.0013
t,UNK,5.8960,52.0000,0.1134,0.0021
s,s,5.6910,50.0000,0.1138,0.0018
t,n,1.9410,46.0000,0.0422,0.0008
a,a,2.9510,44.0000,0.0671,0.0005
UNK,k,4.2500,44.0000,0.0966,0.0014
f,f,3.7380,44.0000,0.0850,0.0007
UNK,i,4.0900,43.0000,0.0951,0.0039
UNK,r,2.7500,38.0000,0.0724,0.0010
k,k,2.7190,36.0000,0.0755,0.0011
g,g,3.2840,36.0000,0.0912,0.0018
UNK,s,3.8300,32.0000,0.1197,0.0014
u,u,2.2900,31.0000,0.0739,0.0009
UNK,f,2.6100,30.0000,0.0870,0.0010
l,l,1.6290,28.0000,0.0582,0.0005
ç,k,2.8950,28.0000,0.1034,0.0012
UNK,a,1.9800,27.0000,0.0733,0.0010
n:,n:,3.6770,27.0000,0.1362,0.0090
UNK,g,2.3800,23.0000,0.1035,0.0015
l:,l:,1.6630,20.0000,0.0832,0.0027
t:,t,0.8230,20.0000,0.0412,0.0002
ʃ,k,0.7130,19.0000,0.0375,0.0006
zˤ,zˤ,1.6690,19.0000,0.0878,0.0013
d,d,1.3540,18.0000,0.0752,0.0014
r,n,0.6970,18.0000,0.0387,0.0008
ʃ,ʃ,1.1040,18.0000,0.0613,0.0012
ʁ,ʁ,1.0400,18.0000,0.0578,0.0006
UNK,u,1.5800,18.0000,0.0878,0.0010
UNK,l,1.1700,18.0000,0.0650,0.0005
j,j,0.8800,17.0000,0.0518,0.0005
z,z,1.4260,17.0000,0.0839,0.0012
s,t,0.4780,16.0000,0.0299,0.0009
t:,n,1.1850,16.0000,0.0741,0.0009
UNK,z,1.3100,14.0000,0.0936,0.0013
n,t,0.1560,14.0000,0.0111,0.0001
UNK,n:,3.0300,13.0000,0.2331,0.0113
r,s,0.1750,12.0000,0.0146,0.0001
s,UNK,1.7800,11.0000,0.1618,0.0012
j,a,0.2830,11.0000,0.0257,0.0001
r,k,0.1380,11.0000,0.0125,0.0001
t:,t:,1.5620,11.0000,0.1420,0.0034
UNK,l:,0.8600,10.0000,0.0860,0.0028
UNK,ʃ,0.8600,10.0000,0.0860,0.0008
n:,UNK,1.7300,10.0000,0.1730,0.0005
UNK,t:,1.4700,9.0000,0.1633,0.0039
r,UNK,0.7390,9.0000,0.0821,0.0007
UNK,j,0.4600,8.0000,0.0575,0.0005
l:,j,0.4260,8.0000,0.0533,0.0006
ɡʷ,ɡʷ,0.0780,7.0000,0.0111,0.0000
UNK,ʁ,0.5400,7.0000,0.0771,0.0007
r,g,0.1140,7.0000,0.0163,0.0001
t,k,0.1070,7.0000,0.0153,0.0000
u,r,0.2120,7.0000,0.0303,0.0005
t,n:,0.2620,7.0000,0.0374,0.0002
m,UNK,0.9050,7.0000,0.1293,0.0010
r,z,0.1340,7.0000,0.0191,0.0002
UNK,d,0.6100,6.0000,0.1017,0.0016
ɡʷ,m,0.4970,6.0000,0.0828,0.0014
ʃ,f,0.1500,6.0000,0.0250,0.0000
m,r,0.1200,6.0000,0.0200,0.0001
i,l:,0.0380,6.0000,0.0063,0.0000
ʁ,t,0.1820,6.0000,0.0303,0.0001
t,f,0.0930,5.0000,0.0186,0.0001
ʒ:,ʒ:,0.8700,5.0000,0.1740,0.0002
UNK,zˤ,0.5300,5.0000,0.1060,0.0005
g,r,0.1200,5.0000,0.0240,0.0002
m:,m:,0.7500,5.0000,0.1500,0.0032
s:,s:,0.6620,5.0000,0.1324,0.0015
f:,f:,0.7200,5.0000,0.1440,0.0001
UNK,f:,0.7400,5.0000,0.1480,0.0001
l,t,0.0680,4.0000,0.0170,0.0002
k,l,0.1460,4.0000,0.0365,0.0011
m,a,0.0430,4.0000,0.0108,0.0000
UNK,kʷ,0.1200,4.0000,0.0300,0.0003
k,t,0.1390,4.0000,0.0347,0.0007
t,u,0.1440,4.0000,0.0360,0.0002
UNK,m:,0.7100,4.0000,0.1775,0.0002
g,UNK,0.3280,4.0000,0.0820,0.0001
zˤ,i,0.0800,4.0000,0.0200,0.0001
ħ,i,0.1760,4.0000,0.0440,0.0002
ħ,ħ,0.1200,4.0000,0.0300,0.0000
z,n,0.0740,4.0000,0.0185,0.0000
n,w,0.0560,4.0000,0.0140,0.0001
w,w,0.3340,4.0000,0.0835,0.0001
t,r,0.1640,4.0000,0.0410,0.0015
zˤ,d,0.1840,4.0000,0.0460,0.0009
n,d,0.0790,4.0000,0.0197,0.0004
g,t,0.0990,4.0000,0.0247,0.0004
m,n:,0.1190,4.0000,0.0298,0.0003
k,UNK,0.2850,4.0000,0.0713,0.0004
l:,i,0.3230,4.0000,0.0808,0.0010
zˤ,t,0.2140,4.0000,0.0535,0.0025
t:,UNK,0.7280,4.0000,0.1820,0.0000
n,t:,0.0590,4.0000,0.0147,0.0001
m,n,0.1410,4.0000,0.0353,0.0001
f,UNK,0.3110,3.0000,0.1037,0.0007
d,UNK,0.3270,3.0000,0.1090,0.0002
k,m,0.0660,3.0000,0.0220,0.0001
f,t,0.0350,3.0000,0.0117,0.0000
ħ,d,0.1130,3.0000,0.0377,0.0005
d,u,0.0320,3.0000,0.0107,0.0000
r,f,0.0210,3.0000,0.0070,0.0000
s,k,0.0670,3.0000,0.0223,0.0001
n,f,0.0220,3.0000,0.0073,0.0000
t,ʁ,0.0460,3.0000,0.0153,0.0001
a,w,0.0900,3.0000,0.0300,0.0002
i,zˤ,0.0460,3.0000,0.0153,0.0001
n:,u,0.1620,3.0000,0.0540,0.0028
UNK,s:,0.3800,3.0000,0.1267,0.0022
f,k,0.0680,3.0000,0.0227,0.0001
UNK,ʒ:,0.5100,3.0000,0.1700,0.0001
i,r,0.0280,3.0000,0.0093,0.0000
u,m,0.0300,3.0000,0.0100,0.0001
r,t:,0.1290,3.0000,0.0430,0.0007
ç,UNK,0.3220,3.0000,0.1073,0.0005
t,g,0.0320,3.0000,0.0107,0.0000
l:,a,0.1250,3.0000,0.0417,0.0002
ɡʷ,UNK,0.4070,3.0000,0.1357,0.0013
m,ɡʷ,0.0300,3.0000,0.0100,0.0000
f,ʃ,0.0660,3.0000,0.0220,0.0001
j,l:,0.0710,3.0000,0.0237,0.0002
r,t,0.0480,3.0000,0.0160,0.0001
l,f,0.0260,3.0000,0.0087,0.0000
a,j,0.0340,3.0000,0.0113,0.0000
ʁ,n,0.0730,3.0000,0.0243,0.0005
n,r,0.1150,3.0000,0.0383,0.0010
t,s,0.1160,3.0000,0.0387,0.0000
z,UNK,0.2730,3.0000,0.0910,0.0006
i,t,0.0160,2.0000,0.0080,0.0000
l,n,0.0620,2.0000,0.0310,0.0005
ʒ:,u,0.0170,2.0000,0.0085,0.0000
r,i,0.0650,2.0000,0.0325,0.0000
g,m,0.0290,2.0000,0.0145,0.0000
s,r,0.0190,2.0000,0.0095,0.0001
t:,r,0.2830,2.0000,0.1415,0.0032
s,n,0.0620,2.0000,0.0310,0.0001
ʁ,UNK,0.1530,2.0000,0.0765,0.0002
n,ʁ,0.0190,2.0000,0.0095,0.0000
n,a,0.0250,2.0000,0.0125,0.0000
i,f:,0.0200,2.0000,0.0100,0.0000
m,t,0.0380,2.0000,0.0190,0.0001
çʷ,kʷ,0.0500,2.0000,0.0250,0.0002
n,l,0.1270,2.0000,0.0635,0.0038
j,k,0.0480,2.0000,0.0240,0.0003
r,zˤ,0.0230,2.0000,0.0115,0.0000
m,s,0.0270,2.0000,0.0135,0.0000
u,l:,0.0280,2.0000,0.0140,0.0000
ʃ,t,0.0440,2.0000,0.0220,0.0003
g,n,0.0490,2.0000,0.0245,0.0000
ʒ:,s,0.0210,2.0000,0.0105,0.0000
t,i,0.0780,2.0000,0.0390,0.0007
i,k,0.0150,2.0000,0.0075,0.0000
z,r,0.0940,2.0000,0.0470,0.0000
r,u,0.0280,2.0000,0.0140,0.0001
i,UNK,0.1350,2.0000,0.0675,0.0001
UNK,ħ,0.0600,2.0000,0.0300,0.0000
l,UNK,0.1980,2.0000,0.0990,0.0006
d,t,0.1060,2.0000,0.0530,0.0002
s:,t,0.0970,2.0000,0.0485,0.0000
n,i,0.0180,2.0000,0.0090,0.0000
ɡʷ,d,0.0520,2.0000,0.0260,0.0002
t,m,0.0320,2.0000,0.0160,0.0001
r,m,0.0280,2.0000,0.0140,0.0001
n,u,0.1500,2.0000,0.0750,0.0012
r,n:,0.0550,2.0000,0.0275,0.0004
d,n,0.0490,2.0000,0.0245,0.0000
n,g,0.0180,2.0000,0.0090,0.0000
m,ʃ,0.0100,1.0000,0.0100,0.0000
kʷ,kʷ,0.0200,1.0000,0.0200,0.0000
k,i,0.0340,1.0000,0.0340,0.0000
g,n:,0.0300,1.0000,0.0300,0.0000
t:,u,0.0300,1.0000,0.0300,0.0000
a,k,0.0080,1.0000,0.0080,0.0000
