iso,sentence,time_total,time_corr_abs,time_corr_perc
secret_phon,speaker0,44.0570,22.8890,0.5200
secret_word,speaker0,49.8160,25.4390,0.5110
secret_word_nostop,speaker0,48.6470,24.7800,0.5090
secret_phon,speaker1,39.5650,18.6040,0.4700
secret_word,speaker1,44.0250,21.9430,0.4980
secret_word_nostop,speaker1,43.3170,21.3480,0.4930
secret_phon,speaker2,35.6970,14.7260,0.4130
secret_word,speaker2,38.1530,18.3420,0.4810
secret_word_nostop,speaker2,37.1740,17.7760,0.4780
secret_phon,speaker3,39.0220,15.2680,0.3910
secret_word,speaker3,43.9520,19.2860,0.4390
secret_word_nostop,speaker3,43.2120,18.6680,0.4320
secret_phon,speaker4,37.9060,17.7500,0.4680
secret_word,speaker4,41.1950,21.1330,0.5130
secret_word_nostop,speaker4,41.1840,20.6050,0.5000
