gold,pred,time_sec,support,avg_time,var_time
t:,t,0.541000,12.000000,0.045083,0.000993
a,r,0.286000,11.000000,0.026000,0.000828
j,i,0.344000,10.000000,0.034400,0.000584
s,t,0.523000,7.000000,0.074714,0.002090
i,n,0.209000,7.000000,0.029857,0.000646
a,dˤ,0.080000,6.000000,0.013333,0.000062
n,t,0.122000,5.000000,0.024400,0.000095
a,g,0.059000,5.000000,0.011800,0.000011
i,d,0.047000,5.000000,0.009400,0.000024
j,a,0.109000,5.000000,0.021800,0.000114
a,s,0.030000,4.000000,0.007500,0.000032
i,r,0.156000,4.000000,0.039000,0.001323
n,i,0.297000,4.000000,0.074250,0.007192
u,r,0.150000,4.000000,0.037500,0.000417
n,a,0.315000,4.000000,0.078750,0.004498
d,i,0.108000,4.000000,0.027000,0.000469
a,j,0.085000,4.000000,0.021250,0.000204
s,d,0.094000,4.000000,0.023500,0.000008
a,ʁ,0.107000,4.000000,0.026750,0.000089
g,i,0.098000,4.000000,0.024500,0.000127
d:,d,0.268000,4.000000,0.067000,0.000118
a:,a,0.383000,4.000000,0.095750,0.001394
g,n,0.151000,3.000000,0.050333,0.000822
a,w,0.041000,3.000000,0.013667,0.000020
i,g,0.040000,3.000000,0.013333,0.000118
r,k,0.099000,3.000000,0.033000,0.000018
r,ʁ,0.049000,3.000000,0.016333,0.000003
a,d,0.026000,3.000000,0.008667,0.000010
u,j,0.107000,3.000000,0.035667,0.000700
l:,i,0.117000,3.000000,0.039000,0.000474
k,a,0.031000,3.000000,0.010333,0.000014
i,w,0.063000,3.000000,0.021000,0.000021
z,t,0.230000,3.000000,0.076667,0.000089
n:,n,0.230000,3.000000,0.076667,0.001156
n,g,0.063000,3.000000,0.021000,0.000062
f,a,0.011000,2.000000,0.005500,0.000002
j,g,0.015000,2.000000,0.007500,0.000002
a,t,0.033000,2.000000,0.016500,0.000042
u,ʁ,0.040000,2.000000,0.020000,0.000025
n,s,0.012000,2.000000,0.006000,0.000001
u,r:,0.060000,2.000000,0.030000,0.000004
i,z,0.017000,2.000000,0.008500,0.000000
l:,g,0.086000,2.000000,0.043000,0.000169
r,i,0.056000,2.000000,0.028000,0.000004
r,n,0.016000,2.000000,0.008000,0.000009
a,k,0.013000,2.000000,0.006500,0.000000
kʷ:,k,0.053000,2.000000,0.026500,0.000012
kʷ:,kʷ,0.020000,2.000000,0.010000,0.000000
i,l:,0.040000,2.000000,0.020000,0.000169
a,tˤ:,0.010000,2.000000,0.005000,0.000009
i,ʁ,0.059000,2.000000,0.029500,0.000380
i,t,0.099000,2.000000,0.049500,0.001892
g,d,0.023000,2.000000,0.011500,0.000030
d,g,0.050000,2.000000,0.025000,0.000225
i,m,0.027000,2.000000,0.013500,0.000056
a,rˤ,0.036000,2.000000,0.018000,0.000036
t:,n,0.074000,2.000000,0.037000,0.000961
z,d,0.180000,2.000000,0.090000,0.000400
u,g,0.010000,2.000000,0.005000,0.000009
m:,i,0.108000,2.000000,0.054000,0.002116
g,a,0.015000,2.000000,0.007500,0.000000
d,ʁ,0.011000,2.000000,0.005500,0.000000
m:,m,0.120000,2.000000,0.060000,0.000900
s:,t,0.111000,2.000000,0.055500,0.000240
r,a,0.018000,2.000000,0.009000,0.000001
g,u,0.023000,2.000000,0.011500,0.000006
d,t,0.110000,2.000000,0.055000,0.000025
a,n,0.024000,2.000000,0.012000,0.000121
t:,d,0.110000,2.000000,0.055000,0.000225
h,a,0.048000,2.000000,0.024000,0.000036
i:,i,0.100000,2.000000,0.050000,0.000000
i,l,0.006000,1.000000,0.006000,0.000000
d,r,0.026000,1.000000,0.026000,0.000000
i,k,0.009000,1.000000,0.009000,0.000000
n,l,0.050000,1.000000,0.050000,0.000000
i,t:,0.010000,1.000000,0.010000,0.000000
t:,g,0.050000,1.000000,0.050000,0.000000
l,s,0.041000,1.000000,0.041000,0.000000
l,a,0.006000,1.000000,0.006000,0.000000
ħ,a,0.013000,1.000000,0.013000,0.000000
n,ħ,0.010000,1.000000,0.010000,0.000000
m,a,0.002000,1.000000,0.002000,0.000000
ʃ,a,0.003000,1.000000,0.003000,0.000000
j,n,0.044000,1.000000,0.044000,0.000000
i,zˤ,0.013000,1.000000,0.013000,0.000000
n,r,0.016000,1.000000,0.016000,0.000000
s,r,0.006000,1.000000,0.006000,0.000000
i,s,0.002000,1.000000,0.002000,0.000000
z,l,0.007000,1.000000,0.007000,0.000000
t,d,0.040000,1.000000,0.040000,0.000000
t,a,0.011000,1.000000,0.011000,0.000000
u,m:,0.021000,1.000000,0.021000,0.000000
dz,t,0.090000,1.000000,0.090000,0.000000
z,r,0.020000,1.000000,0.020000,0.000000
s,k:,0.020000,1.000000,0.020000,0.000000
kʷ:,a,0.022000,1.000000,0.022000,0.000000
j,l:,0.011000,1.000000,0.011000,0.000000
