gold,pred,time_sec,support,avg_time,var_time
t,t:,0.541000,12.000000,0.045083,0.000993
r,a,0.286000,11.000000,0.026000,0.000828
i,j,0.344000,10.000000,0.034400,0.000584
t,s,0.523000,7.000000,0.074714,0.002090
n,i,0.209000,7.000000,0.029857,0.000646
dˤ,a,0.080000,6.000000,0.013333,0.000062
t,n,0.122000,5.000000,0.024400,0.000095
g,a,0.059000,5.000000,0.011800,0.000011
d,i,0.047000,5.000000,0.009400,0.000024
a,j,0.109000,5.000000,0.021800,0.000114
s,a,0.030000,4.000000,0.007500,0.000032
r,i,0.156000,4.000000,0.039000,0.001323
i,n,0.297000,4.000000,0.074250,0.007192
r,u,0.150000,4.000000,0.037500,0.000417
a,n,0.315000,4.000000,0.078750,0.004498
i,d,0.108000,4.000000,0.027000,0.000469
j,a,0.085000,4.000000,0.021250,0.000204
d,s,0.094000,4.000000,0.023500,0.000008
ʁ,a,0.107000,4.000000,0.026750,0.000089
i,g,0.098000,4.000000,0.024500,0.000127
d,d:,0.268000,4.000000,0.067000,0.000118
a,a:,0.383000,4.000000,0.095750,0.001394
n,g,0.151000,3.000000,0.050333,0.000822
w,a,0.041000,3.000000,0.013667,0.000020
g,i,0.040000,3.000000,0.013333,0.000118
k,r,0.099000,3.000000,0.033000,0.000018
ʁ,r,0.049000,3.000000,0.016333,0.000003
d,a,0.026000,3.000000,0.008667,0.000010
j,u,0.107000,3.000000,0.035667,0.000700
i,l:,0.117000,3.000000,0.039000,0.000474
a,k,0.031000,3.000000,0.010333,0.000014
w,i,0.063000,3.000000,0.021000,0.000021
t,z,0.230000,3.000000,0.076667,0.000089
n,n:,0.230000,3.000000,0.076667,0.001156
g,n,0.063000,3.000000,0.021000,0.000062
a,f,0.011000,2.000000,0.005500,0.000002
g,j,0.015000,2.000000,0.007500,0.000002
t,a,0.033000,2.000000,0.016500,0.000042
ʁ,u,0.040000,2.000000,0.020000,0.000025
s,n,0.012000,2.000000,0.006000,0.000001
r:,u,0.060000,2.000000,0.030000,0.000004
z,i,0.017000,2.000000,0.008500,0.000000
