gold,pred,time_sec,support,avg_time,var_time
a,a,6.910000,78.000000,0.088590,0.001685
a,UNK,8.100000,78.000000,0.103846,0.002842
UNK,a,6.970000,77.000000,0.090519,0.001815
UNK,i,4.650000,46.000000,0.101087,0.005605
i,UNK,4.348000,44.000000,0.098818,0.001994
i,i,4.007000,42.000000,0.095405,0.001909
n,UNK,3.899000,35.000000,0.111400,0.004892
UNK,n,2.681000,30.000000,0.089367,0.004022
UNK,t,2.620000,29.000000,0.090345,0.005872
n,n,2.630000,29.000000,0.090690,0.003893
u,UNK,2.891000,27.000000,0.107074,0.001837
UNK,u,2.620000,27.000000,0.097037,0.002784
t,UNK,3.017000,25.000000,0.120680,0.005813
s,UNK,4.294000,25.000000,0.171760,0.007021
u,u,2.353000,25.000000,0.094120,0.002042
UNK,s,3.090000,24.000000,0.128750,0.006111
UNK,r,1.650000,24.000000,0.068750,0.001669
s,s,2.949000,23.000000,0.128217,0.006089
r,UNK,1.654000,23.000000,0.071913,0.000407
r,r,1.273000,22.000000,0.057864,0.000463
t,t,1.608000,21.000000,0.076571,0.001959
UNK,d,1.940000,21.000000,0.092381,0.004218
d,UNK,1.985000,20.000000,0.099250,0.003542
d,d,1.799000,19.000000,0.094684,0.003847
m,UNK,1.874000,18.000000,0.104111,0.003181
UNK,m,1.710000,18.000000,0.095000,0.003681
m,m,1.617000,17.000000,0.095118,0.003536
UNK,l,1.050000,12.000000,0.087500,0.003885
UNK,j,1.091000,11.000000,0.099182,0.001510
j,UNK,1.271000,11.000000,0.115545,0.002963
UNK,ʁ,0.990000,10.000000,0.099000,0.003509
ʁ,UNK,1.383000,10.000000,0.138300,0.002151
j,j,0.898000,10.000000,0.089800,0.001134
l,l,0.531000,10.000000,0.053100,0.000474
l,UNK,0.776000,10.000000,0.077600,0.001260
d:,UNK,1.652000,10.000000,0.165200,0.001944
g,g,0.568000,9.000000,0.063111,0.000780
g,UNK,1.167000,9.000000,0.129667,0.007989
UNK,g,0.568000,9.000000,0.063111,0.000780
d:,d:,1.365000,9.000000,0.151667,0.003336
UNK,d:,1.480000,9.000000,0.164444,0.003869
ʁ,ʁ,0.760000,8.000000,0.095000,0.001231
w,w,0.994000,8.000000,0.124250,0.000590
w,UNK,1.036000,8.000000,0.129500,0.000439
UNK,w,1.055000,8.000000,0.131875,0.000612
f,f,0.806000,8.000000,0.100750,0.000633
f,UNK,0.806000,8.000000,0.100750,0.000633
UNK,f,0.900000,8.000000,0.112500,0.001544
UNK,b,0.560000,7.000000,0.080000,0.003914
b,UNK,0.520000,7.000000,0.074286,0.000672
s:,s:,1.331000,7.000000,0.190143,0.002454
s:,UNK,1.331000,7.000000,0.190143,0.002454
